Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
1179766,hangzhou-telecom,suzhou-telecom,21.3594,0.0,icmp,1590940800,2020-05-31 16:00:00+00:00
1180015,hangzhou-telecom,suzhou-telecom,18.1122,0.0,icmp,1590940920,2020-05-31 16:02:00+00:00
1180265,hangzhou-telecom,suzhou-telecom,15.7834,0.0,icmp,1590941040,2020-05-31 16:04:00+00:00
1180529,hangzhou-telecom,suzhou-telecom,16.9611,0.0,icmp,1590941160,2020-05-31 16:06:00+00:00
1180804,hangzhou-telecom,suzhou-telecom,16.9459,0.0,icmp,1590941280,2020-05-31 16:08:00+00:00
1181048,hangzhou-telecom,suzhou-telecom,12.601,0.0,icmp,1590941419,2020-05-31 16:10:19+00:00
1181319,hangzhou-telecom,suzhou-telecom,12.3385,0.0,icmp,1590941539,2020-05-31 16:12:19+00:00
1181620,hangzhou-telecom,suzhou-telecom,16.0468,0.0,icmp,1590941640,2020-05-31 16:14:00+00:00
1181823,hangzhou-telecom,suzhou-telecom,12.4519,0.0,icmp,1590941719,2020-05-31 16:15:19+00:00
1182083,hangzhou-telecom,suzhou-telecom,12.6572,0.0,icmp,1590941839,2020-05-31 16:17:19+00:00
1182344,hangzhou-telecom,suzhou-telecom,19.2715,0.0,icmp,1590942000,2020-05-31 16:20:00+00:00
1182606,hangzhou-telecom,suzhou-telecom,15.9835,0.0,icmp,1590942120,2020-05-31 16:22:00+00:00
1182877,hangzhou-telecom,suzhou-telecom,14.834,0.0,icmp,1590942240,2020-05-31 16:24:00+00:00
1183154,hangzhou-telecom,suzhou-telecom,19.3445,0.0,icmp,1590942360,2020-05-31 16:26:00+00:00
1183444,hangzhou-telecom,suzhou-telecom,13.9409,0.0,icmp,1590942480,2020-05-31 16:28:00+00:00
1183647,hangzhou-telecom,suzhou-telecom,12.3552,0.0,icmp,1590942559,2020-05-31 16:29:19+00:00
1183907,hangzhou-telecom,suzhou-telecom,15.985,0.0,icmp,1590942720,2020-05-31 16:32:00+00:00
1184188,hangzhou-telecom,suzhou-telecom,15.6487,0.0,icmp,1590942840,2020-05-31 16:34:00+00:00
