Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
5181890,hangzhou-telecom,xiamen-telecom,29.136,0.0,icmp,1590940740,2020-05-31 15:59:00+00:00
5182143,hangzhou-telecom,xiamen-telecom,18.0446,0.0,icmp,1590940879,2020-05-31 16:01:19+00:00
5182418,hangzhou-telecom,xiamen-telecom,17.8173,0.0,icmp,1590940999,2020-05-31 16:03:19+00:00
5182712,hangzhou-telecom,xiamen-telecom,32.714,0.0,icmp,1590941100,2020-05-31 16:05:00+00:00
5182972,hangzhou-telecom,xiamen-telecom,23.0997,0.0,icmp,1590941220,2020-05-31 16:07:00+00:00
5183272,hangzhou-telecom,xiamen-telecom,23.0169,0.0,icmp,1590941340,2020-05-31 16:09:00+00:00
5183536,hangzhou-telecom,xiamen-telecom,24.7108,0.0,icmp,1590941460,2020-05-31 16:11:00+00:00
5183804,hangzhou-telecom,xiamen-telecom,29.6368,0.0,icmp,1590941580,2020-05-31 16:13:00+00:00
5184106,hangzhou-telecom,xiamen-telecom,25.7135,0.0,icmp,1590941700,2020-05-31 16:15:00+00:00
5184389,hangzhou-telecom,xiamen-telecom,27.865,0.0,icmp,1590941820,2020-05-31 16:17:00+00:00
5184653,hangzhou-telecom,xiamen-telecom,25.527,0.0,icmp,1590941940,2020-05-31 16:19:00+00:00
5184960,hangzhou-telecom,xiamen-telecom,17.9562,0.0,icmp,1590942079,2020-05-31 16:21:19+00:00
5185221,hangzhou-telecom,xiamen-telecom,27.1947,0.0,icmp,1590942180,2020-05-31 16:23:00+00:00
5185510,hangzhou-telecom,xiamen-telecom,18.0404,0.0,icmp,1590942319,2020-05-31 16:25:19+00:00
5185794,hangzhou-telecom,xiamen-telecom,20.6736,0.0,icmp,1590942420,2020-05-31 16:27:00+00:00
5186061,hangzhou-telecom,xiamen-telecom,17.7234,0.0,icmp,1590942559,2020-05-31 16:29:19+00:00
5186320,hangzhou-telecom,xiamen-telecom,23.4977,0.0,icmp,1590942660,2020-05-31 16:31:00+00:00
5186586,hangzhou-telecom,xiamen-telecom,17.9885,0.0,icmp,1590942739,2020-05-31 16:32:19+00:00
5186870,hangzhou-telecom,xiamen-telecom,20.6039,0.0,icmp,1590942900,2020-05-31 16:35:00+00:00
5187148,hangzhou-telecom,xiamen-telecom,23.4927,0.0,icmp,1590943020,2020-05-31 16:37:00+00:00
5187442,hangzhou-telecom,xiamen-telecom,20.3281,0.0,icmp,1590943140,2020-05-31 16:39:00+00:00
5187697,hangzhou-telecom,xiamen-telecom,26.7374,0.0,icmp,1590943260,2020-05-31 16:41:00+00:00
5187982,hangzhou-telecom,xiamen-telecom,17.6967,0.0,icmp,1590943339,2020-05-31 16:42:19+00:00
5188253,hangzhou-telecom,xiamen-telecom,17.9695,0.0,icmp,1590943459,2020-05-31 16:44:19+00:00
5188534,hangzhou-telecom,xiamen-telecom,22.9888,0.0,icmp,1590943620,2020-05-31 16:47:00+00:00
5188810,hangzhou-telecom,xiamen-telecom,20.2179,0.0,icmp,1590943740,2020-05-31 16:49:00+00:00
5189115,hangzhou-telecom,xiamen-telecom,17.8131,0.0,icmp,1590943819,2020-05-31 16:50:19+00:00
5189388,hangzhou-telecom,xiamen-telecom,27.5125,0.0,icmp,1590943980,2020-05-31 16:53:00+00:00
5189642,hangzhou-telecom,xiamen-telecom,17.7866,0.0,icmp,1590944119,2020-05-31 16:55:19+00:00
5189922,hangzhou-telecom,xiamen-telecom,25.9384,0.0,icmp,1590944220,2020-05-31 16:57:00+00:00
5190211,hangzhou-telecom,xiamen-telecom,17.8776,0.0,icmp,1590944359,2020-05-31 16:59:19+00:00
5190500,hangzhou-telecom,xiamen-telecom,24.4722,0.0,icmp,1590944460,2020-05-31 17:01:00+00:00
5190751,hangzhou-telecom,xiamen-telecom,23.3461,0.0,icmp,1590944580,2020-05-31 17:03:00+00:00
5191042,hangzhou-telecom,xiamen-telecom,17.7429,0.0,icmp,1590944659,2020-05-31 17:04:19+00:00
5191318,hangzhou-telecom,xiamen-telecom,23.5969,0.0,icmp,1590944820,2020-05-31 17:07:00+00:00
5191592,hangzhou-telecom,xiamen-telecom,17.823,0.0,icmp,1590944959,2020-05-31 17:09:19+00:00
5191889,hangzhou-telecom,xiamen-telecom,18.0918,0.0,icmp,1590945079,2020-05-31 17:11:19+00:00
5192163,hangzhou-telecom,xiamen-telecom,31.3435,0.0,icmp,1590945180,2020-05-31 17:13:00+00:00
5192444,hangzhou-telecom,xiamen-telecom,25.6771,0.0,icmp,1590945300,2020-05-31 17:15:00+00:00
5192723,hangzhou-telecom,xiamen-telecom,21.1558,0.0,icmp,1590945420,2020-05-31 17:17:00+00:00
5193003,hangzhou-telecom,xiamen-telecom,26.976,0.0,icmp,1590945540,2020-05-31 17:19:00+00:00
5193264,hangzhou-telecom,xiamen-telecom,18.0218,0.0,icmp,1590945679,2020-05-31 17:21:19+00:00
5193531,hangzhou-telecom,xiamen-telecom,26.0434,0.0,icmp,1590945780,2020-05-31 17:23:00+00:00
5193837,hangzhou-telecom,xiamen-telecom,23.6635,0.0,icmp,1590945900,2020-05-31 17:25:00+00:00
5194099,hangzhou-telecom,xiamen-telecom,18.1381,0.0,icmp,1590946039,2020-05-31 17:27:19+00:00
5194390,hangzhou-telecom,xiamen-telecom,27.0833,0.0,icmp,1590946140,2020-05-31 17:29:00+00:00
5194674,hangzhou-telecom,xiamen-telecom,24.212,0.0,icmp,1590946260,2020-05-31 17:31:00+00:00
5194973,hangzhou-telecom,xiamen-telecom,21.659,0.0,icmp,1590946380,2020-05-31 17:33:00+00:00
5195235,hangzhou-telecom,xiamen-telecom,27.5042,0.0,icmp,1590946500,2020-05-31 17:35:00+00:00
5195499,hangzhou-telecom,xiamen-telecom,20.759,0.0,icmp,1590946620,2020-05-31 17:37:00+00:00
5195777,hangzhou-telecom,xiamen-telecom,23.2562,0.0,icmp,1590946740,2020-05-31 17:39:00+00:00
5196048,hangzhou-telecom,xiamen-telecom,18.9771,0.0,icmp,1590946860,2020-05-31 17:41:00+00:00
5196319,hangzhou-telecom,xiamen-telecom,17.8477,0.0,icmp,1590946939,2020-05-31 17:42:19+00:00
5196622,hangzhou-telecom,xiamen-telecom,24.9331,0.0,icmp,1590947100,2020-05-31 17:45:00+00:00
5196896,hangzhou-telecom,xiamen-telecom,25.6949,0.0,icmp,1590947220,2020-05-31 17:47:00+00:00
5197156,hangzhou-telecom,xiamen-telecom,23.0546,0.0,icmp,1590947340,2020-05-31 17:49:00+00:00
5197441,hangzhou-telecom,xiamen-telecom,22.6605,0.0,icmp,1590947460,2020-05-31 17:51:00+00:00
5197706,hangzhou-telecom,xiamen-telecom,17.8394,0.0,icmp,1590947599,2020-05-31 17:53:19+00:00
5197986,hangzhou-telecom,xiamen-telecom,17.9223,0.0,icmp,1590947719,2020-05-31 17:55:19+00:00
5198286,hangzhou-telecom,xiamen-telecom,24.9117,0.0,icmp,1590947820,2020-05-31 17:57:00+00:00
5198564,hangzhou-telecom,xiamen-telecom,30.0612,0.0,icmp,1590947940,2020-05-31 17:59:00+00:00
5198865,hangzhou-telecom,xiamen-telecom,17.8314,0.0,icmp,1590948079,2020-05-31 18:01:19+00:00
5199097,hangzhou-telecom,xiamen-telecom,19.8883,0.0,icmp,1590948180,2020-05-31 18:03:00+00:00
5199372,hangzhou-telecom,xiamen-telecom,18.1629,0.0,icmp,1590948319,2020-05-31 18:05:19+00:00
5199669,hangzhou-telecom,xiamen-telecom,18.0148,0.0,icmp,1590948439,2020-05-31 18:07:19+00:00
5199940,hangzhou-telecom,xiamen-telecom,24.8509,0.0,icmp,1590948540,2020-05-31 18:09:00+00:00
5200222,hangzhou-telecom,xiamen-telecom,26.8058,0.0,icmp,1590948660,2020-05-31 18:11:00+00:00
5200482,hangzhou-telecom,xiamen-telecom,17.7971,0.0,icmp,1590948739,2020-05-31 18:12:19+00:00
5200780,hangzhou-telecom,xiamen-telecom,24.3137,0.0,icmp,1590948900,2020-05-31 18:15:00+00:00
5201051,hangzhou-telecom,xiamen-telecom,31.5295,0.0,icmp,1590949020,2020-05-31 18:17:00+00:00
5201338,hangzhou-telecom,xiamen-telecom,21.7272,0.0,icmp,1590949140,2020-05-31 18:19:00+00:00
5201592,hangzhou-telecom,xiamen-telecom,26.9195,0.0,icmp,1590949260,2020-05-31 18:21:00+00:00
5201876,hangzhou-telecom,xiamen-telecom,24.7232,0.0,icmp,1590949380,2020-05-31 18:23:00+00:00
5202165,hangzhou-telecom,xiamen-telecom,27.47,0.0,icmp,1590949500,2020-05-31 18:25:00+00:00
5202444,hangzhou-telecom,xiamen-telecom,21.1274,0.0,icmp,1590949620,2020-05-31 18:27:00+00:00
5202724,hangzhou-telecom,xiamen-telecom,26.8834,0.0,icmp,1590949740,2020-05-31 18:29:00+00:00
5202990,hangzhou-telecom,xiamen-telecom,22.2205,0.0,icmp,1590949860,2020-05-31 18:31:00+00:00
5203267,hangzhou-telecom,xiamen-telecom,17.9472,0.0,icmp,1590949999,2020-05-31 18:33:19+00:00
5203549,hangzhou-telecom,xiamen-telecom,18.1412,0.0,icmp,1590950119,2020-05-31 18:35:19+00:00
5203838,hangzhou-telecom,xiamen-telecom,18.0509,0.0,icmp,1590950239,2020-05-31 18:37:19+00:00
5204107,hangzhou-telecom,xiamen-telecom,32.4327,0.0,icmp,1590950340,2020-05-31 18:39:00+00:00
5204396,hangzhou-telecom,xiamen-telecom,22.4731,0.0,icmp,1590950460,2020-05-31 18:41:00+00:00
5204668,hangzhou-telecom,xiamen-telecom,17.8091,0.0,icmp,1590950599,2020-05-31 18:43:19+00:00
5204942,hangzhou-telecom,xiamen-telecom,30.8325,0.0,icmp,1590950700,2020-05-31 18:45:00+00:00
5205228,hangzhou-telecom,xiamen-telecom,17.8867,0.0,icmp,1590950779,2020-05-31 18:46:19+00:00
5205513,hangzhou-telecom,xiamen-telecom,20.362,0.0,icmp,1590950940,2020-05-31 18:49:00+00:00
5205790,hangzhou-telecom,xiamen-telecom,26.9395,0.0,icmp,1590951060,2020-05-31 18:51:00+00:00
5206055,hangzhou-telecom,xiamen-telecom,18.031,0.0,icmp,1590951139,2020-05-31 18:52:19+00:00
5206352,hangzhou-telecom,xiamen-telecom,20.9619,0.0,icmp,1590951300,2020-05-31 18:55:00+00:00
5206628,hangzhou-telecom,xiamen-telecom,32.6739,0.0,icmp,1590951420,2020-05-31 18:57:00+00:00
5206882,hangzhou-telecom,xiamen-telecom,27.6006,0.0,icmp,1590951540,2020-05-31 18:59:00+00:00
5207186,hangzhou-telecom,xiamen-telecom,22.0406,0.0,icmp,1590951660,2020-05-31 19:01:00+00:00
5207427,hangzhou-telecom,xiamen-telecom,23.2582,0.0,icmp,1590951780,2020-05-31 19:03:00+00:00
5207730,hangzhou-telecom,xiamen-telecom,25.7194,0.0,icmp,1590951900,2020-05-31 19:05:00+00:00
5207994,hangzhou-telecom,xiamen-telecom,25.8169,0.0,icmp,1590952020,2020-05-31 19:07:00+00:00
5208260,hangzhou-telecom,xiamen-telecom,24.0511,0.0,icmp,1590952140,2020-05-31 19:09:00+00:00
5208537,hangzhou-telecom,xiamen-telecom,17.8656,0.0,icmp,1590952279,2020-05-31 19:11:19+00:00
5208811,hangzhou-telecom,xiamen-telecom,25.1717,0.0,icmp,1590952380,2020-05-31 19:13:00+00:00
5209110,hangzhou-telecom,xiamen-telecom,17.9648,0.0,icmp,1590952519,2020-05-31 19:15:19+00:00
5209394,hangzhou-telecom,xiamen-telecom,28.4719,0.0,icmp,1590952620,2020-05-31 19:17:00+00:00
5209671,hangzhou-telecom,xiamen-telecom,21.1373,0.0,icmp,1590952740,2020-05-31 19:19:00+00:00
5209953,hangzhou-telecom,xiamen-telecom,24.0794,0.0,icmp,1590952860,2020-05-31 19:21:00+00:00
5210227,hangzhou-telecom,xiamen-telecom,20.5413,0.0,icmp,1590952980,2020-05-31 19:23:00+00:00
5210507,hangzhou-telecom,xiamen-telecom,20.5838,0.0,icmp,1590953100,2020-05-31 19:25:00+00:00
5210762,hangzhou-telecom,xiamen-telecom,24.1154,0.0,icmp,1590953220,2020-05-31 19:27:00+00:00
5211050,hangzhou-telecom,xiamen-telecom,25.37,0.0,icmp,1590953340,2020-05-31 19:29:00+00:00
5211334,hangzhou-telecom,xiamen-telecom,34.5325,0.0,icmp,1590953460,2020-05-31 19:31:00+00:00
5211600,hangzhou-telecom,xiamen-telecom,18.0034,0.0,icmp,1590953599,2020-05-31 19:33:19+00:00
5211880,hangzhou-telecom,xiamen-telecom,23.6414,0.0,icmp,1590953700,2020-05-31 19:35:00+00:00
5212162,hangzhou-telecom,xiamen-telecom,18.4706,0.0,icmp,1590953839,2020-05-31 19:37:19+00:00
5212453,hangzhou-telecom,xiamen-telecom,29.4761,0.0,icmp,1590953940,2020-05-31 19:39:00+00:00
5212725,hangzhou-telecom,xiamen-telecom,27.2046,0.0,icmp,1590954060,2020-05-31 19:41:00+00:00
5212997,hangzhou-telecom,xiamen-telecom,23.3676,0.0,icmp,1590954180,2020-05-31 19:43:00+00:00
5213279,hangzhou-telecom,xiamen-telecom,20.1737,0.0,icmp,1590954300,2020-05-31 19:45:00+00:00
5213553,hangzhou-telecom,xiamen-telecom,18.2138,0.0,icmp,1590954439,2020-05-31 19:47:19+00:00
5213850,hangzhou-telecom,xiamen-telecom,24.0918,0.0,icmp,1590954540,2020-05-31 19:49:00+00:00
5214137,hangzhou-telecom,xiamen-telecom,23.7603,0.0,icmp,1590954660,2020-05-31 19:51:00+00:00
5214377,hangzhou-telecom,xiamen-telecom,24.7883,0.0,icmp,1590954780,2020-05-31 19:53:00+00:00
5214671,hangzhou-telecom,xiamen-telecom,31.0122,0.0,icmp,1590954900,2020-05-31 19:55:00+00:00
5214933,hangzhou-telecom,xiamen-telecom,19.7913,0.0,icmp,1590955020,2020-05-31 19:57:00+00:00
5215227,hangzhou-telecom,xiamen-telecom,17.8682,0.0,icmp,1590955159,2020-05-31 19:59:19+00:00
5215509,hangzhou-telecom,xiamen-telecom,23.3528,0.0,icmp,1590955260,2020-05-31 20:01:00+00:00
5215773,hangzhou-telecom,xiamen-telecom,17.7706,0.0,icmp,1590955399,2020-05-31 20:03:19+00:00
5216068,hangzhou-telecom,xiamen-telecom,26.5293,0.0,icmp,1590955500,2020-05-31 20:05:00+00:00
5216324,hangzhou-telecom,xiamen-telecom,22.1001,0.0,icmp,1590955620,2020-05-31 20:07:00+00:00
5216600,hangzhou-telecom,xiamen-telecom,24.2392,0.0,icmp,1590955740,2020-05-31 20:09:00+00:00
5216899,hangzhou-telecom,xiamen-telecom,26.3501,0.0,icmp,1590955860,2020-05-31 20:11:00+00:00
5217172,hangzhou-telecom,xiamen-telecom,17.8531,0.0,icmp,1590955999,2020-05-31 20:13:19+00:00
5217435,hangzhou-telecom,xiamen-telecom,19.7965,0.0,icmp,1590956100,2020-05-31 20:15:00+00:00
5217706,hangzhou-telecom,xiamen-telecom,30.2018,0.0,icmp,1590956220,2020-05-31 20:17:00+00:00
5217992,hangzhou-telecom,xiamen-telecom,30.6362,0.0,icmp,1590956340,2020-05-31 20:19:00+00:00
5218262,hangzhou-telecom,xiamen-telecom,29.1276,0.0,icmp,1590956460,2020-05-31 20:21:00+00:00
5218549,hangzhou-telecom,xiamen-telecom,28.8403,0.0,icmp,1590956580,2020-05-31 20:23:00+00:00
5218818,hangzhou-telecom,xiamen-telecom,19.5973,0.0,icmp,1590956700,2020-05-31 20:25:00+00:00
5219115,hangzhou-telecom,xiamen-telecom,31.0769,0.0,icmp,1590956820,2020-05-31 20:27:00+00:00
5219385,hangzhou-telecom,xiamen-telecom,18.122,0.0,icmp,1590956959,2020-05-31 20:29:19+00:00
5219676,hangzhou-telecom,xiamen-telecom,25.8705,0.0,icmp,1590957060,2020-05-31 20:31:00+00:00
5219950,hangzhou-telecom,xiamen-telecom,22.4,0.0,icmp,1590957180,2020-05-31 20:33:00+00:00
5220215,hangzhou-telecom,xiamen-telecom,17.707,0.0,icmp,1590957319,2020-05-31 20:35:19+00:00
5220508,hangzhou-telecom,xiamen-telecom,19.9011,0.0,icmp,1590957420,2020-05-31 20:37:00+00:00
5220811,hangzhou-telecom,xiamen-telecom,28.2019,0.0,icmp,1590957540,2020-05-31 20:39:00+00:00
5221072,hangzhou-telecom,xiamen-telecom,17.7612,0.0,icmp,1590957679,2020-05-31 20:41:19+00:00
5221359,hangzhou-telecom,xiamen-telecom,26.1706,0.0,icmp,1590957780,2020-05-31 20:43:00+00:00
5221631,hangzhou-telecom,xiamen-telecom,25.2726,0.0,icmp,1590957900,2020-05-31 20:45:00+00:00
5221906,hangzhou-telecom,xiamen-telecom,29.7188,0.0,icmp,1590958020,2020-05-31 20:47:00+00:00
5222151,hangzhou-telecom,xiamen-telecom,17.7425,0.0,icmp,1590958159,2020-05-31 20:49:19+00:00
5222462,hangzhou-telecom,xiamen-telecom,31.7674,0.0,icmp,1590958260,2020-05-31 20:51:00+00:00
5222715,hangzhou-telecom,xiamen-telecom,22.7479,0.0,icmp,1590958380,2020-05-31 20:53:00+00:00
5223026,hangzhou-telecom,xiamen-telecom,22.1045,0.0,icmp,1590958500,2020-05-31 20:55:00+00:00
5223274,hangzhou-telecom,xiamen-telecom,20.0398,0.0,icmp,1590958620,2020-05-31 20:57:00+00:00
5223544,hangzhou-telecom,xiamen-telecom,28.8357,0.0,icmp,1590958740,2020-05-31 20:59:00+00:00
5223850,hangzhou-telecom,xiamen-telecom,23.1345,0.0,icmp,1590958860,2020-05-31 21:01:00+00:00
5224113,hangzhou-telecom,xiamen-telecom,34.0419,0.0,icmp,1590958980,2020-05-31 21:03:00+00:00
5224403,hangzhou-telecom,xiamen-telecom,23.7375,0.0,icmp,1590959100,2020-05-31 21:05:00+00:00
5224667,hangzhou-telecom,xiamen-telecom,18.0535,0.0,icmp,1590959179,2020-05-31 21:06:19+00:00
5224953,hangzhou-telecom,xiamen-telecom,31.5414,0.0,icmp,1590959340,2020-05-31 21:09:00+00:00
5225214,hangzhou-telecom,xiamen-telecom,32.7425,0.0,icmp,1590959460,2020-05-31 21:11:00+00:00
5225496,hangzhou-telecom,xiamen-telecom,24.6264,0.0,icmp,1590959580,2020-05-31 21:13:00+00:00
5225775,hangzhou-telecom,xiamen-telecom,27.0706,0.0,icmp,1590959700,2020-05-31 21:15:00+00:00
5226054,hangzhou-telecom,xiamen-telecom,22.4066,0.0,icmp,1590959820,2020-05-31 21:17:00+00:00
5226352,hangzhou-telecom,xiamen-telecom,26.6635,0.0,icmp,1590959940,2020-05-31 21:19:00+00:00
5226615,hangzhou-telecom,xiamen-telecom,24.238,0.0,icmp,1590960060,2020-05-31 21:21:00+00:00
5226908,hangzhou-telecom,xiamen-telecom,32.1763,0.0,icmp,1590960180,2020-05-31 21:23:00+00:00
5227202,hangzhou-telecom,xiamen-telecom,17.786,0.0,icmp,1590960319,2020-05-31 21:25:19+00:00
5227456,hangzhou-telecom,xiamen-telecom,25.8851,0.0,icmp,1590960420,2020-05-31 21:27:00+00:00
5227741,hangzhou-telecom,xiamen-telecom,22.8472,0.0,icmp,1590960540,2020-05-31 21:29:00+00:00
5227994,hangzhou-telecom,xiamen-telecom,30.6363,0.0,icmp,1590960660,2020-05-31 21:31:00+00:00
