Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
5887193,jinan-telecom,suzhou-telecom,19.2015,0.0,icmp,1590940759,2020-05-31 15:59:19+00:00
5887513,jinan-telecom,suzhou-telecom,28.1694,0.0,icmp,1590940860,2020-05-31 16:01:00+00:00
5887785,jinan-telecom,suzhou-telecom,23.5227,0.0,icmp,1590940980,2020-05-31 16:03:00+00:00
5888074,jinan-telecom,suzhou-telecom,19.1544,0.0,icmp,1590941119,2020-05-31 16:05:19+00:00
5888350,jinan-telecom,suzhou-telecom,23.3635,0.0,icmp,1590941220,2020-05-31 16:07:00+00:00
5888611,jinan-telecom,suzhou-telecom,25.5074,0.0,icmp,1590941340,2020-05-31 16:09:00+00:00
5888870,jinan-telecom,suzhou-telecom,23.1018,0.0,icmp,1590941460,2020-05-31 16:11:00+00:00
5889186,jinan-telecom,suzhou-telecom,26.7858,0.0,icmp,1590941580,2020-05-31 16:13:00+00:00
5889460,jinan-telecom,suzhou-telecom,19.2473,0.0,icmp,1590941719,2020-05-31 16:15:19+00:00
5889754,jinan-telecom,suzhou-telecom,21.27,0.0,icmp,1590941820,2020-05-31 16:17:00+00:00
5890008,jinan-telecom,suzhou-telecom,25.9259,0.0,icmp,1590941940,2020-05-31 16:19:00+00:00
5890314,jinan-telecom,suzhou-telecom,22.8285,0.0,icmp,1590942060,2020-05-31 16:21:00+00:00
5890598,jinan-telecom,suzhou-telecom,26.5857,0.0,icmp,1590942180,2020-05-31 16:23:00+00:00
5890857,jinan-telecom,suzhou-telecom,27.7136,0.0,icmp,1590942300,2020-05-31 16:25:00+00:00
5891155,jinan-telecom,suzhou-telecom,19.2639,0.0,icmp,1590942439,2020-05-31 16:27:19+00:00
5891425,jinan-telecom,suzhou-telecom,21.1789,0.0,icmp,1590942540,2020-05-31 16:29:00+00:00
5891699,jinan-telecom,suzhou-telecom,23.6616,0.0,icmp,1590942660,2020-05-31 16:31:00+00:00
5892001,jinan-telecom,suzhou-telecom,21.7586,0.0,icmp,1590942780,2020-05-31 16:33:00+00:00
5892260,jinan-telecom,suzhou-telecom,22.3589,0.0,icmp,1590942900,2020-05-31 16:35:00+00:00
5892536,jinan-telecom,suzhou-telecom,23.7487,0.0,icmp,1590943020,2020-05-31 16:37:00+00:00
5892836,jinan-telecom,suzhou-telecom,20.9038,0.0,icmp,1590943140,2020-05-31 16:39:00+00:00
5893117,jinan-telecom,suzhou-telecom,21.3823,0.0,icmp,1590943260,2020-05-31 16:41:00+00:00
5893398,jinan-telecom,suzhou-telecom,22.9144,0.0,icmp,1590943380,2020-05-31 16:43:00+00:00
5893683,jinan-telecom,suzhou-telecom,21.1651,0.0,icmp,1590943500,2020-05-31 16:45:00+00:00
5893944,jinan-telecom,suzhou-telecom,21.015,0.0,icmp,1590943620,2020-05-31 16:47:00+00:00
5894255,jinan-telecom,suzhou-telecom,21.1713,0.0,icmp,1590943740,2020-05-31 16:49:00+00:00
5894502,jinan-telecom,suzhou-telecom,26.3765,0.0,icmp,1590943860,2020-05-31 16:51:00+00:00
5894799,jinan-telecom,suzhou-telecom,20.0709,0.0,icmp,1590943980,2020-05-31 16:53:00+00:00
5895062,jinan-telecom,suzhou-telecom,24.5676,0.0,icmp,1590944100,2020-05-31 16:55:00+00:00
5895360,jinan-telecom,suzhou-telecom,20.4293,0.0,icmp,1590944220,2020-05-31 16:57:00+00:00
5895639,jinan-telecom,suzhou-telecom,23.8285,0.0,icmp,1590944340,2020-05-31 16:59:00+00:00
5895995,jinan-telecom,suzhou-telecom,21.356,0.0,icmp,1590944460,2020-05-31 17:01:00+00:00
5896213,jinan-telecom,suzhou-telecom,21.5693,0.0,icmp,1590944580,2020-05-31 17:03:00+00:00
5896481,jinan-telecom,suzhou-telecom,21.0042,0.0,icmp,1590944700,2020-05-31 17:05:00+00:00
5896774,jinan-telecom,suzhou-telecom,19.1093,0.0,icmp,1590944839,2020-05-31 17:07:19+00:00
5897049,jinan-telecom,suzhou-telecom,22.5938,0.0,icmp,1590944940,2020-05-31 17:09:00+00:00
5897331,jinan-telecom,suzhou-telecom,19.2683,0.0,icmp,1590945079,2020-05-31 17:11:19+00:00
5897622,jinan-telecom,suzhou-telecom,21.6972,0.0,icmp,1590945180,2020-05-31 17:13:00+00:00
5897893,jinan-telecom,suzhou-telecom,23.7303,0.0,icmp,1590945300,2020-05-31 17:15:00+00:00
5898172,jinan-telecom,suzhou-telecom,22.7667,0.0,icmp,1590945420,2020-05-31 17:17:00+00:00
5898450,jinan-telecom,suzhou-telecom,19.0391,0.0,icmp,1590945559,2020-05-31 17:19:19+00:00
5898723,jinan-telecom,suzhou-telecom,30.349,0.0,icmp,1590945660,2020-05-31 17:21:00+00:00
5899022,jinan-telecom,suzhou-telecom,23.0933,0.0,icmp,1590945780,2020-05-31 17:23:00+00:00
5899274,jinan-telecom,suzhou-telecom,19.0339,0.0,icmp,1590945919,2020-05-31 17:25:19+00:00
5899559,jinan-telecom,suzhou-telecom,20.3997,0.0,icmp,1590946020,2020-05-31 17:27:00+00:00
5899839,jinan-telecom,suzhou-telecom,20.8739,0.0,icmp,1590946140,2020-05-31 17:29:00+00:00
5900128,jinan-telecom,suzhou-telecom,21.3081,0.0,icmp,1590946260,2020-05-31 17:31:00+00:00
5900407,jinan-telecom,suzhou-telecom,22.002,0.0,icmp,1590946380,2020-05-31 17:33:00+00:00
5900694,jinan-telecom,suzhou-telecom,20.1338,0.0,icmp,1590946500,2020-05-31 17:35:00+00:00
5900979,jinan-telecom,suzhou-telecom,23.0659,0.0,icmp,1590946620,2020-05-31 17:37:00+00:00
5901269,jinan-telecom,suzhou-telecom,24.8242,0.0,icmp,1590946740,2020-05-31 17:39:00+00:00
5901563,jinan-telecom,suzhou-telecom,23.0495,0.0,icmp,1590946860,2020-05-31 17:41:00+00:00
5901823,jinan-telecom,suzhou-telecom,19.5313,0.0,icmp,1590946999,2020-05-31 17:43:19+00:00
5902109,jinan-telecom,suzhou-telecom,22.5481,0.0,icmp,1590947100,2020-05-31 17:45:00+00:00
5902378,jinan-telecom,suzhou-telecom,22.6937,0.0,icmp,1590947220,2020-05-31 17:47:00+00:00
