Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
4830333,qingdao-telecom,suzhou-telecom,33.4804,0.0,icmp,1590940740,2020-05-31 15:59:00+00:00
4830578,qingdao-telecom,suzhou-telecom,23.2009,0.0,icmp,1590940860,2020-05-31 16:01:00+00:00
4830833,qingdao-telecom,suzhou-telecom,26.6116,0.0,icmp,1590940980,2020-05-31 16:03:00+00:00
4831069,qingdao-telecom,suzhou-telecom,26.8028,0.0,icmp,1590941100,2020-05-31 16:05:00+00:00
4831318,qingdao-telecom,suzhou-telecom,20.5729,0.0,icmp,1590941179,2020-05-31 16:06:19+00:00
4831561,qingdao-telecom,suzhou-telecom,25.2624,0.0,icmp,1590941340,2020-05-31 16:09:00+00:00
4831784,qingdao-telecom,suzhou-telecom,26.6362,0.0,icmp,1590941460,2020-05-31 16:11:00+00:00
4831992,qingdao-telecom,suzhou-telecom,22.8429,0.0,icmp,1590941580,2020-05-31 16:13:00+00:00
4832252,qingdao-telecom,suzhou-telecom,30.8085,0.0,icmp,1590941700,2020-05-31 16:15:00+00:00
4832478,qingdao-telecom,suzhou-telecom,26.9478,0.0,icmp,1590941820,2020-05-31 16:17:00+00:00
4832720,qingdao-telecom,suzhou-telecom,26.2773,0.0,icmp,1590941940,2020-05-31 16:19:00+00:00
4832956,qingdao-telecom,suzhou-telecom,24.9721,0.0,icmp,1590942060,2020-05-31 16:21:00+00:00
4833204,qingdao-telecom,suzhou-telecom,21.0449,0.0,icmp,1590942139,2020-05-31 16:22:19+00:00
4833429,qingdao-telecom,suzhou-telecom,25.6277,0.0,icmp,1590942300,2020-05-31 16:25:00+00:00
4833668,qingdao-telecom,suzhou-telecom,28.5691,0.0,icmp,1590942420,2020-05-31 16:27:00+00:00
4833926,qingdao-telecom,suzhou-telecom,23.854,0.0,icmp,1590942540,2020-05-31 16:29:00+00:00
4834144,qingdao-telecom,suzhou-telecom,23.2044,0.0,icmp,1590942660,2020-05-31 16:31:00+00:00
4834380,qingdao-telecom,suzhou-telecom,23.32,0.0,icmp,1590942780,2020-05-31 16:33:00+00:00
4834648,qingdao-telecom,suzhou-telecom,25.7968,0.0,icmp,1590942900,2020-05-31 16:35:00+00:00
4834894,qingdao-telecom,suzhou-telecom,24.2944,0.0,icmp,1590943020,2020-05-31 16:37:00+00:00
4835103,qingdao-telecom,suzhou-telecom,20.72,0.0,icmp,1590943099,2020-05-31 16:38:19+00:00
4835338,qingdao-telecom,suzhou-telecom,23.7959,0.0,icmp,1590943260,2020-05-31 16:41:00+00:00
4835610,qingdao-telecom,suzhou-telecom,26.8895,0.0,icmp,1590943380,2020-05-31 16:43:00+00:00
4835834,qingdao-telecom,suzhou-telecom,26.1654,0.0,icmp,1590943500,2020-05-31 16:45:00+00:00
4836054,qingdao-telecom,suzhou-telecom,24.2186,0.0,icmp,1590943620,2020-05-31 16:47:00+00:00
4836274,qingdao-telecom,suzhou-telecom,23.0114,0.0,icmp,1590943740,2020-05-31 16:49:00+00:00
4836528,qingdao-telecom,suzhou-telecom,25.5987,0.0,icmp,1590943860,2020-05-31 16:51:00+00:00
4836790,qingdao-telecom,suzhou-telecom,33.8229,0.0,icmp,1590943980,2020-05-31 16:53:00+00:00
4837012,qingdao-telecom,suzhou-telecom,23.2562,0.0,icmp,1590944100,2020-05-31 16:55:00+00:00
4837245,qingdao-telecom,suzhou-telecom,20.7996,0.0,icmp,1590944179,2020-05-31 16:56:19+00:00
4837494,qingdao-telecom,suzhou-telecom,23.3815,0.0,icmp,1590944340,2020-05-31 16:59:00+00:00
4837713,qingdao-telecom,suzhou-telecom,26.3427,0.0,icmp,1590944460,2020-05-31 17:01:00+00:00
4837936,qingdao-telecom,suzhou-telecom,21.4269,0.0,icmp,1590944580,2020-05-31 17:03:00+00:00
4838207,qingdao-telecom,suzhou-telecom,20.4501,0.0,icmp,1590944659,2020-05-31 17:04:19+00:00
4838438,qingdao-telecom,suzhou-telecom,26.2041,0.0,icmp,1590944820,2020-05-31 17:07:00+00:00
4838668,qingdao-telecom,suzhou-telecom,20.584,0.0,icmp,1590944899,2020-05-31 17:08:19+00:00
4838925,qingdao-telecom,suzhou-telecom,22.7699,0.0,icmp,1590945060,2020-05-31 17:11:00+00:00
4839145,qingdao-telecom,suzhou-telecom,20.8951,0.0,icmp,1590945139,2020-05-31 17:12:19+00:00
4839386,qingdao-telecom,suzhou-telecom,23.5644,0.0,icmp,1590945300,2020-05-31 17:15:00+00:00
4839625,qingdao-telecom,suzhou-telecom,31.2073,0.0,icmp,1590945420,2020-05-31 17:17:00+00:00
4839883,qingdao-telecom,suzhou-telecom,26.5095,0.0,icmp,1590945540,2020-05-31 17:19:00+00:00
4840121,qingdao-telecom,suzhou-telecom,25.2745,0.0,icmp,1590945660,2020-05-31 17:21:00+00:00
4840341,qingdao-telecom,suzhou-telecom,26.2625,0.0,icmp,1590945780,2020-05-31 17:23:00+00:00
4840602,qingdao-telecom,suzhou-telecom,25.3179,0.0,icmp,1590945900,2020-05-31 17:25:00+00:00
4840801,qingdao-telecom,suzhou-telecom,26.3013,0.0,icmp,1590946020,2020-05-31 17:27:00+00:00
4841064,qingdao-telecom,suzhou-telecom,25.5942,0.0,icmp,1590946140,2020-05-31 17:29:00+00:00
4841288,qingdao-telecom,suzhou-telecom,22.3576,0.0,icmp,1590946260,2020-05-31 17:31:00+00:00
4841543,qingdao-telecom,suzhou-telecom,23.9826,0.0,icmp,1590946380,2020-05-31 17:33:00+00:00
4841777,qingdao-telecom,suzhou-telecom,24.9563,0.0,icmp,1590946500,2020-05-31 17:35:00+00:00
4842022,qingdao-telecom,suzhou-telecom,24.3151,0.0,icmp,1590946620,2020-05-31 17:37:00+00:00
