Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
1769765,qingdao-telecom,xiamen-telecom,42.9432,0.0,icmp,1590940800,2020-05-31 16:00:00+00:00
1770001,qingdao-telecom,xiamen-telecom,43.966,0.0,icmp,1590940920,2020-05-31 16:02:00+00:00
1770206,qingdao-telecom,xiamen-telecom,36.7609,0.0,icmp,1590941059,2020-05-31 16:04:19+00:00
1770450,qingdao-telecom,xiamen-telecom,44.0941,0.0,icmp,1590941160,2020-05-31 16:06:00+00:00
1770666,qingdao-telecom,xiamen-telecom,36.9059,0.0,icmp,1590941299,2020-05-31 16:08:19+00:00
1770912,qingdao-telecom,xiamen-telecom,44.7236,0.0,icmp,1590941400,2020-05-31 16:10:00+00:00
1771134,qingdao-telecom,xiamen-telecom,44.563,0.0,icmp,1590941520,2020-05-31 16:12:00+00:00
1771323,qingdao-telecom,xiamen-telecom,43.4997,0.0,icmp,1590941640,2020-05-31 16:14:00+00:00
1771562,qingdao-telecom,xiamen-telecom,36.9051,0.0,icmp,1590941779,2020-05-31 16:16:19+00:00
1771797,qingdao-telecom,xiamen-telecom,45.7249,0.0,icmp,1590941880,2020-05-31 16:18:00+00:00
1771981,qingdao-telecom,xiamen-telecom,46.2148,0.0,icmp,1590942000,2020-05-31 16:20:00+00:00
1772214,qingdao-telecom,xiamen-telecom,40.1313,0.0,icmp,1590942120,2020-05-31 16:22:00+00:00
1772465,qingdao-telecom,xiamen-telecom,49.4502,0.0,icmp,1590942240,2020-05-31 16:24:00+00:00
1772676,qingdao-telecom,xiamen-telecom,36.9936,0.0,icmp,1590942379,2020-05-31 16:26:19+00:00
1772883,qingdao-telecom,xiamen-telecom,36.82,0.0,icmp,1590942499,2020-05-31 16:28:19+00:00
1773118,qingdao-telecom,xiamen-telecom,44.7256,0.0,icmp,1590942600,2020-05-31 16:30:00+00:00
1773348,qingdao-telecom,xiamen-telecom,37.0288,0.0,icmp,1590942739,2020-05-31 16:32:19+00:00
1773532,qingdao-telecom,xiamen-telecom,38.5355,0.0,icmp,1590942840,2020-05-31 16:34:00+00:00
1773791,qingdao-telecom,xiamen-telecom,46.3091,0.0,icmp,1590942960,2020-05-31 16:36:00+00:00
1773994,qingdao-telecom,xiamen-telecom,37.1877,0.0,icmp,1590943080,2020-05-31 16:38:00+00:00
1774242,qingdao-telecom,xiamen-telecom,36.9405,0.0,icmp,1590943219,2020-05-31 16:40:19+00:00
