Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
6710471,shanghai-telecom-2,suzhou-telecom,8.0562,0.0,icmp,1590940800,2020-05-31 16:00:00+00:00
6710692,shanghai-telecom-2,suzhou-telecom,6.3819,0.0,icmp,1590940879,2020-05-31 16:01:19+00:00
6710953,shanghai-telecom-2,suzhou-telecom,7.2415,0.0,icmp,1590940999,2020-05-31 16:03:19+00:00
6711185,shanghai-telecom-2,suzhou-telecom,16.5009,0.0,icmp,1590941160,2020-05-31 16:06:00+00:00
6711458,shanghai-telecom-2,suzhou-telecom,6.5543,0.0,icmp,1590941239,2020-05-31 16:07:19+00:00
6711717,shanghai-telecom-2,suzhou-telecom,6.8818,0.0,icmp,1590941359,2020-05-31 16:09:19+00:00
6711919,shanghai-telecom-2,suzhou-telecom,6.6743,0.0,icmp,1590941479,2020-05-31 16:11:19+00:00
6712165,shanghai-telecom-2,suzhou-telecom,8.8825,0.0,icmp,1590941640,2020-05-31 16:14:00+00:00
6712432,shanghai-telecom-2,suzhou-telecom,11.8876,0.0,icmp,1590941760,2020-05-31 16:16:00+00:00
6712671,shanghai-telecom-2,suzhou-telecom,9.9779,0.0,icmp,1590941880,2020-05-31 16:18:00+00:00
6712926,shanghai-telecom-2,suzhou-telecom,6.7838,0.0,icmp,1590942000,2020-05-31 16:20:00+00:00
6713174,shanghai-telecom-2,suzhou-telecom,6.6208,0.0,icmp,1590942079,2020-05-31 16:21:19+00:00
6713397,shanghai-telecom-2,suzhou-telecom,7.7452,0.0,icmp,1590942240,2020-05-31 16:24:00+00:00
6713644,shanghai-telecom-2,suzhou-telecom,7.2707,0.0,icmp,1590942360,2020-05-31 16:26:00+00:00
6713907,shanghai-telecom-2,suzhou-telecom,10.9908,0.0,icmp,1590942480,2020-05-31 16:28:00+00:00
6714106,shanghai-telecom-2,suzhou-telecom,9.654,0.0,icmp,1590942600,2020-05-31 16:30:00+00:00
6714403,shanghai-telecom-2,suzhou-telecom,10.6488,0.0,icmp,1590942720,2020-05-31 16:32:00+00:00
6714625,shanghai-telecom-2,suzhou-telecom,6.5966,0.0,icmp,1590942799,2020-05-31 16:33:19+00:00
6714867,shanghai-telecom-2,suzhou-telecom,15.1989,0.0,icmp,1590942960,2020-05-31 16:36:00+00:00
6715127,shanghai-telecom-2,suzhou-telecom,6.405,0.0,icmp,1590943039,2020-05-31 16:37:19+00:00
6715364,shanghai-telecom-2,suzhou-telecom,11.531,0.0,icmp,1590943200,2020-05-31 16:40:00+00:00
6715627,shanghai-telecom-2,suzhou-telecom,6.7457,0.0,icmp,1590943279,2020-05-31 16:41:19+00:00
6715866,shanghai-telecom-2,suzhou-telecom,7.5594,0.0,icmp,1590943440,2020-05-31 16:44:00+00:00
6716086,shanghai-telecom-2,suzhou-telecom,6.4268,0.0,icmp,1590943519,2020-05-31 16:45:19+00:00
6716338,shanghai-telecom-2,suzhou-telecom,8.396,0.0,icmp,1590943680,2020-05-31 16:48:00+00:00
6716598,shanghai-telecom-2,suzhou-telecom,11.9027,0.0,icmp,1590943800,2020-05-31 16:50:00+00:00
6716841,shanghai-telecom-2,suzhou-telecom,13.3301,0.0,icmp,1590943920,2020-05-31 16:52:00+00:00
