Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
2825880,shanghai-telecom,jinan-telecom,23.2731,0.0,icmp,1590940740,2020-05-31 15:59:00+00:00
2826193,shanghai-telecom,jinan-telecom,24.4606,0.0,icmp,1590940860,2020-05-31 16:01:00+00:00
2826434,shanghai-telecom,jinan-telecom,17.3366,0.0,icmp,1590940999,2020-05-31 16:03:19+00:00
2826679,shanghai-telecom,jinan-telecom,26.205,0.0,icmp,1590941100,2020-05-31 16:05:00+00:00
2826987,shanghai-telecom,jinan-telecom,26.7287,0.0,icmp,1590941220,2020-05-31 16:07:00+00:00
2827249,shanghai-telecom,jinan-telecom,17.2597,0.0,icmp,1590941299,2020-05-31 16:08:19+00:00
2827529,shanghai-telecom,jinan-telecom,30.0827,0.0,icmp,1590941460,2020-05-31 16:11:00+00:00
2827776,shanghai-telecom,jinan-telecom,25.9198,0.0,icmp,1590941580,2020-05-31 16:13:00+00:00
2828065,shanghai-telecom,jinan-telecom,23.1676,0.0,icmp,1590941700,2020-05-31 16:15:00+00:00
2828327,shanghai-telecom,jinan-telecom,23.9593,0.0,icmp,1590941820,2020-05-31 16:17:00+00:00
2828589,shanghai-telecom,jinan-telecom,29.3866,0.0,icmp,1590941940,2020-05-31 16:19:00+00:00
2828894,shanghai-telecom,jinan-telecom,24.3174,0.0,icmp,1590942060,2020-05-31 16:21:00+00:00
2829147,shanghai-telecom,jinan-telecom,21.4303,0.0,icmp,1590942180,2020-05-31 16:23:00+00:00
2829415,shanghai-telecom,jinan-telecom,21.4205,0.0,icmp,1590942300,2020-05-31 16:25:00+00:00
2829689,shanghai-telecom,jinan-telecom,21.786,0.0,icmp,1590942420,2020-05-31 16:27:00+00:00
2829961,shanghai-telecom,jinan-telecom,25.8947,0.0,icmp,1590942540,2020-05-31 16:29:00+00:00
2830237,shanghai-telecom,jinan-telecom,28.6749,0.0,icmp,1590942660,2020-05-31 16:31:00+00:00
2830482,shanghai-telecom,jinan-telecom,23.8893,0.0,icmp,1590942780,2020-05-31 16:33:00+00:00
2830727,shanghai-telecom,jinan-telecom,21.9572,0.0,icmp,1590942900,2020-05-31 16:35:00+00:00
2831032,shanghai-telecom,jinan-telecom,20.2098,0.0,icmp,1590943020,2020-05-31 16:37:00+00:00
2831303,shanghai-telecom,jinan-telecom,21.9004,0.0,icmp,1590943140,2020-05-31 16:39:00+00:00
2831586,shanghai-telecom,jinan-telecom,23.561,0.0,icmp,1590943260,2020-05-31 16:41:00+00:00
2831821,shanghai-telecom,jinan-telecom,19.8001,0.0,icmp,1590943380,2020-05-31 16:43:00+00:00
2832097,shanghai-telecom,jinan-telecom,17.7229,0.0,icmp,1590943459,2020-05-31 16:44:19+00:00
2832384,shanghai-telecom,jinan-telecom,18.9029,0.0,icmp,1590943620,2020-05-31 16:47:00+00:00
