Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
1179844,shanghai-telecom,wenzhou-telecom,17.1049,0.0,icmp,1590940800,2020-05-31 16:00:00+00:00
1180111,shanghai-telecom,wenzhou-telecom,20.4973,0.0,icmp,1590940920,2020-05-31 16:02:00+00:00
1180355,shanghai-telecom,wenzhou-telecom,16.6904,0.0,icmp,1590941040,2020-05-31 16:04:00+00:00
1180639,shanghai-telecom,wenzhou-telecom,12.9772,0.0,icmp,1590941119,2020-05-31 16:05:19+00:00
1180892,shanghai-telecom,wenzhou-telecom,18.3479,0.0,icmp,1590941280,2020-05-31 16:08:00+00:00
1181133,shanghai-telecom,wenzhou-telecom,17.5893,0.0,icmp,1590941400,2020-05-31 16:10:00+00:00
1181408,shanghai-telecom,wenzhou-telecom,13.018,0.0,icmp,1590941479,2020-05-31 16:11:19+00:00
1181655,shanghai-telecom,wenzhou-telecom,13.0158,0.0,icmp,1590941599,2020-05-31 16:13:19+00:00
1181936,shanghai-telecom,wenzhou-telecom,22.7791,0.0,icmp,1590941760,2020-05-31 16:16:00+00:00
1182169,shanghai-telecom,wenzhou-telecom,14.8686,0.0,icmp,1590941880,2020-05-31 16:18:00+00:00
1182423,shanghai-telecom,wenzhou-telecom,12.9653,0.0,icmp,1590941959,2020-05-31 16:19:19+00:00
1182722,shanghai-telecom,wenzhou-telecom,13.1054,0.0,icmp,1590942079,2020-05-31 16:21:19+00:00
1182945,shanghai-telecom,wenzhou-telecom,18.5776,0.0,icmp,1590942240,2020-05-31 16:24:00+00:00
1183210,shanghai-telecom,wenzhou-telecom,17.3238,0.0,icmp,1590942360,2020-05-31 16:26:00+00:00
1183477,shanghai-telecom,wenzhou-telecom,16.5279,0.0,icmp,1590942480,2020-05-31 16:28:00+00:00
1183719,shanghai-telecom,wenzhou-telecom,17.62,0.0,icmp,1590942600,2020-05-31 16:30:00+00:00
1183980,shanghai-telecom,wenzhou-telecom,16.1262,0.0,icmp,1590942720,2020-05-31 16:32:00+00:00
1184262,shanghai-telecom,wenzhou-telecom,16.1896,0.0,icmp,1590942840,2020-05-31 16:34:00+00:00
1184516,shanghai-telecom,wenzhou-telecom,17.8435,0.0,icmp,1590942960,2020-05-31 16:36:00+00:00
1184792,shanghai-telecom,wenzhou-telecom,19.1724,0.0,icmp,1590943080,2020-05-31 16:38:00+00:00
1185027,shanghai-telecom,wenzhou-telecom,18.7934,0.0,icmp,1590943200,2020-05-31 16:40:00+00:00
1185317,shanghai-telecom,wenzhou-telecom,20.891,0.0,icmp,1590943320,2020-05-31 16:42:00+00:00
1185568,shanghai-telecom,wenzhou-telecom,15.4261,0.0,icmp,1590943440,2020-05-31 16:44:00+00:00
1185840,shanghai-telecom,wenzhou-telecom,17.8604,0.0,icmp,1590943560,2020-05-31 16:46:00+00:00
1186060,shanghai-telecom,wenzhou-telecom,18.5672,0.0,icmp,1590943680,2020-05-31 16:48:00+00:00
1186339,shanghai-telecom,wenzhou-telecom,16.7471,0.0,icmp,1590943800,2020-05-31 16:50:00+00:00
1186620,shanghai-telecom,wenzhou-telecom,17.5812,0.0,icmp,1590943920,2020-05-31 16:52:00+00:00
1186868,shanghai-telecom,wenzhou-telecom,13.0001,0.0,icmp,1590943999,2020-05-31 16:53:19+00:00
1187112,shanghai-telecom,wenzhou-telecom,16.5863,0.0,icmp,1590944160,2020-05-31 16:56:00+00:00
1187358,shanghai-telecom,wenzhou-telecom,15.7483,0.0,icmp,1590944280,2020-05-31 16:58:00+00:00
1187637,shanghai-telecom,wenzhou-telecom,17.3568,0.0,icmp,1590944400,2020-05-31 17:00:00+00:00
1187911,shanghai-telecom,wenzhou-telecom,13.2617,0.0,icmp,1590944479,2020-05-31 17:01:19+00:00
1188147,shanghai-telecom,wenzhou-telecom,12.9406,0.0,icmp,1590944599,2020-05-31 17:03:19+00:00
1188405,shanghai-telecom,wenzhou-telecom,14.2537,0.0,icmp,1590944760,2020-05-31 17:06:00+00:00
1188682,shanghai-telecom,wenzhou-telecom,17.2298,0.0,icmp,1590944880,2020-05-31 17:08:00+00:00
1188914,shanghai-telecom,wenzhou-telecom,24.5005,0.0,icmp,1590945000,2020-05-31 17:10:00+00:00
1189218,shanghai-telecom,wenzhou-telecom,12.9316,0.0,icmp,1590945079,2020-05-31 17:11:19+00:00
1189480,shanghai-telecom,wenzhou-telecom,16.7531,0.0,icmp,1590945240,2020-05-31 17:14:00+00:00
