Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
3768553,suzhou-telecom-2,xiamen-telecom,26.3757,0.0,icmp,1590940740,2020-05-31 15:59:00+00:00
3768819,suzhou-telecom-2,xiamen-telecom,25.1809,0.0,icmp,1590940819,2020-05-31 16:00:19+00:00
3769088,suzhou-telecom-2,xiamen-telecom,25.1539,0.0,icmp,1590940939,2020-05-31 16:02:19+00:00
3769342,suzhou-telecom-2,xiamen-telecom,39.2367,0.0,icmp,1590941100,2020-05-31 16:05:00+00:00
3769597,suzhou-telecom-2,xiamen-telecom,25.4501,0.0,icmp,1590941179,2020-05-31 16:06:19+00:00
3769830,suzhou-telecom-2,xiamen-telecom,33.3618,0.0,icmp,1590941340,2020-05-31 16:09:00+00:00
3770081,suzhou-telecom-2,xiamen-telecom,30.4437,0.0,icmp,1590941460,2020-05-31 16:11:00+00:00
3770348,suzhou-telecom-2,xiamen-telecom,25.2071,0.0,icmp,1590941539,2020-05-31 16:12:19+00:00
3770576,suzhou-telecom-2,xiamen-telecom,42.1134,0.0,icmp,1590941700,2020-05-31 16:15:00+00:00
3770834,suzhou-telecom-2,xiamen-telecom,35.2677,0.0,icmp,1590941820,2020-05-31 16:17:00+00:00
3771078,suzhou-telecom-2,xiamen-telecom,38.635,0.0,icmp,1590941940,2020-05-31 16:19:00+00:00
3771364,suzhou-telecom-2,xiamen-telecom,37.083,0.0,icmp,1590942060,2020-05-31 16:21:00+00:00
3771598,suzhou-telecom-2,xiamen-telecom,34.4594,0.0,icmp,1590942180,2020-05-31 16:23:00+00:00
3771859,suzhou-telecom-2,xiamen-telecom,37.4727,0.0,icmp,1590942300,2020-05-31 16:25:00+00:00
3772101,suzhou-telecom-2,xiamen-telecom,28.1099,0.0,icmp,1590942420,2020-05-31 16:27:00+00:00
3772347,suzhou-telecom-2,xiamen-telecom,35.7129,0.0,icmp,1590942540,2020-05-31 16:29:00+00:00
3772609,suzhou-telecom-2,xiamen-telecom,25.3063,0.0,icmp,1590942679,2020-05-31 16:31:19+00:00
3772844,suzhou-telecom-2,xiamen-telecom,32.8188,0.0,icmp,1590942780,2020-05-31 16:33:00+00:00
3773097,suzhou-telecom-2,xiamen-telecom,37.0387,0.0,icmp,1590942900,2020-05-31 16:35:00+00:00
3773368,suzhou-telecom-2,xiamen-telecom,29.3236,0.0,icmp,1590943020,2020-05-31 16:37:00+00:00
3773604,suzhou-telecom-2,xiamen-telecom,33.1761,0.0,icmp,1590943140,2020-05-31 16:39:00+00:00
3773884,suzhou-telecom-2,xiamen-telecom,34.9752,0.0,icmp,1590943260,2020-05-31 16:41:00+00:00
3774124,suzhou-telecom-2,xiamen-telecom,25.1491,0.0,icmp,1590943339,2020-05-31 16:42:19+00:00
3774360,suzhou-telecom-2,xiamen-telecom,33.4571,0.0,icmp,1590943500,2020-05-31 16:45:00+00:00
3774628,suzhou-telecom-2,xiamen-telecom,30.5643,0.0,icmp,1590943620,2020-05-31 16:47:00+00:00
3774880,suzhou-telecom-2,xiamen-telecom,35.0064,0.0,icmp,1590943740,2020-05-31 16:49:00+00:00
3775144,suzhou-telecom-2,xiamen-telecom,31.721,0.0,icmp,1590943860,2020-05-31 16:51:00+00:00
3775378,suzhou-telecom-2,xiamen-telecom,36.0802,0.0,icmp,1590943980,2020-05-31 16:53:00+00:00
3775639,suzhou-telecom-2,xiamen-telecom,31.3557,0.0,icmp,1590944100,2020-05-31 16:55:00+00:00
3775877,suzhou-telecom-2,xiamen-telecom,41.05,0.0,icmp,1590944220,2020-05-31 16:57:00+00:00
3776116,suzhou-telecom-2,xiamen-telecom,36.2157,0.0,icmp,1590944340,2020-05-31 16:59:00+00:00
3776377,suzhou-telecom-2,xiamen-telecom,39.5279,0.0,icmp,1590944460,2020-05-31 17:01:00+00:00
3776654,suzhou-telecom-2,xiamen-telecom,43.7312,0.0,icmp,1590944580,2020-05-31 17:03:00+00:00
3776882,suzhou-telecom-2,xiamen-telecom,40.8022,0.0,icmp,1590944700,2020-05-31 17:05:00+00:00
3777162,suzhou-telecom-2,xiamen-telecom,35.0456,0.0,icmp,1590944820,2020-05-31 17:07:00+00:00
3777411,suzhou-telecom-2,xiamen-telecom,31.4842,0.0,icmp,1590944940,2020-05-31 17:09:00+00:00
3777659,suzhou-telecom-2,xiamen-telecom,25.3565,0.0,icmp,1590945019,2020-05-31 17:10:19+00:00
3777889,suzhou-telecom-2,xiamen-telecom,25.1515,0.0,icmp,1590945139,2020-05-31 17:12:19+00:00
3778137,suzhou-telecom-2,xiamen-telecom,34.3671,0.0,icmp,1590945300,2020-05-31 17:15:00+00:00
3778415,suzhou-telecom-2,xiamen-telecom,38.6506,0.0,icmp,1590945420,2020-05-31 17:17:00+00:00
3778649,suzhou-telecom-2,xiamen-telecom,25.4983,0.0,icmp,1590945499,2020-05-31 17:18:19+00:00
3778904,suzhou-telecom-2,xiamen-telecom,25.1612,0.0,icmp,1590945679,2020-05-31 17:21:19+00:00
3779144,suzhou-telecom-2,xiamen-telecom,27.3877,0.0,icmp,1590945780,2020-05-31 17:23:00+00:00
3779402,suzhou-telecom-2,xiamen-telecom,38.2956,0.0,icmp,1590945900,2020-05-31 17:25:00+00:00
3779646,suzhou-telecom-2,xiamen-telecom,35.367,0.0,icmp,1590946020,2020-05-31 17:27:00+00:00
3779898,suzhou-telecom-2,xiamen-telecom,30.1745,0.0,icmp,1590946140,2020-05-31 17:29:00+00:00
3780156,suzhou-telecom-2,xiamen-telecom,37.5949,0.0,icmp,1590946260,2020-05-31 17:31:00+00:00
3780402,suzhou-telecom-2,xiamen-telecom,38.1633,0.0,icmp,1590946380,2020-05-31 17:33:00+00:00
3780658,suzhou-telecom-2,xiamen-telecom,36.1788,0.0,icmp,1590946500,2020-05-31 17:35:00+00:00
3780908,suzhou-telecom-2,xiamen-telecom,26.1729,0.0,icmp,1590946620,2020-05-31 17:37:00+00:00
3781164,suzhou-telecom-2,xiamen-telecom,25.1353,0.0,icmp,1590946759,2020-05-31 17:39:19+00:00
3781435,suzhou-telecom-2,xiamen-telecom,30.1693,0.0,icmp,1590946860,2020-05-31 17:41:00+00:00
3781693,suzhou-telecom-2,xiamen-telecom,25.7594,0.0,icmp,1590946939,2020-05-31 17:42:19+00:00
3781915,suzhou-telecom-2,xiamen-telecom,25.1496,0.0,icmp,1590947059,2020-05-31 17:44:19+00:00
3782194,suzhou-telecom-2,xiamen-telecom,37.213,0.0,icmp,1590947220,2020-05-31 17:47:00+00:00
3782435,suzhou-telecom-2,xiamen-telecom,38.6671,0.0,icmp,1590947340,2020-05-31 17:49:00+00:00
3782696,suzhou-telecom-2,xiamen-telecom,25.2167,0.0,icmp,1590947419,2020-05-31 17:50:19+00:00
3782940,suzhou-telecom-2,xiamen-telecom,25.2781,0.0,icmp,1590947539,2020-05-31 17:52:19+00:00
3783209,suzhou-telecom-2,xiamen-telecom,33.0572,0.0,icmp,1590947700,2020-05-31 17:55:00+00:00
3783459,suzhou-telecom-2,xiamen-telecom,25.1488,0.0,icmp,1590947779,2020-05-31 17:56:19+00:00
3783714,suzhou-telecom-2,xiamen-telecom,35.1165,0.0,icmp,1590947940,2020-05-31 17:59:00+00:00
3783916,suzhou-telecom-2,xiamen-telecom,28.9118,0.0,icmp,1590948060,2020-05-31 18:01:00+00:00
3784189,suzhou-telecom-2,xiamen-telecom,25.6534,0.0,icmp,1590948139,2020-05-31 18:02:19+00:00
3784446,suzhou-telecom-2,xiamen-telecom,38.2806,0.0,icmp,1590948300,2020-05-31 18:05:00+00:00
3784684,suzhou-telecom-2,xiamen-telecom,25.5771,0.0,icmp,1590948379,2020-05-31 18:06:19+00:00
3784946,suzhou-telecom-2,xiamen-telecom,36.3757,0.0,icmp,1590948540,2020-05-31 18:09:00+00:00
3785224,suzhou-telecom-2,xiamen-telecom,25.2687,0.0,icmp,1590948679,2020-05-31 18:11:19+00:00
3785464,suzhou-telecom-2,xiamen-telecom,29.558,0.0,icmp,1590948780,2020-05-31 18:13:00+00:00
3785730,suzhou-telecom-2,xiamen-telecom,31.5916,0.0,icmp,1590948900,2020-05-31 18:15:00+00:00
