Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
1533447,suzhou-telecom,jinan-telecom,22.4157,0.0,icmp,1590940740,2020-05-31 15:59:00+00:00
1533695,suzhou-telecom,jinan-telecom,22.3011,0.0,icmp,1590940860,2020-05-31 16:01:00+00:00
1533947,suzhou-telecom,jinan-telecom,29.0099,0.0,icmp,1590940980,2020-05-31 16:03:00+00:00
1534234,suzhou-telecom,jinan-telecom,22.4172,0.0,icmp,1590941100,2020-05-31 16:05:00+00:00
1534449,suzhou-telecom,jinan-telecom,25.4504,0.0,icmp,1590941220,2020-05-31 16:07:00+00:00
1534737,suzhou-telecom,jinan-telecom,20.7805,0.0,icmp,1590941340,2020-05-31 16:09:00+00:00
1534986,suzhou-telecom,jinan-telecom,24.5506,0.0,icmp,1590941460,2020-05-31 16:11:00+00:00
1535235,suzhou-telecom,jinan-telecom,26.5245,0.0,icmp,1590941580,2020-05-31 16:13:00+00:00
1535461,suzhou-telecom,jinan-telecom,19.1062,0.0,icmp,1590941719,2020-05-31 16:15:19+00:00
1535719,suzhou-telecom,jinan-telecom,23.1354,0.0,icmp,1590941820,2020-05-31 16:17:00+00:00
1536006,suzhou-telecom,jinan-telecom,24.8291,0.0,icmp,1590941940,2020-05-31 16:19:00+00:00
1536239,suzhou-telecom,jinan-telecom,27.1607,0.0,icmp,1590942060,2020-05-31 16:21:00+00:00
1536508,suzhou-telecom,jinan-telecom,19.1027,0.0,icmp,1590942199,2020-05-31 16:23:19+00:00
1536757,suzhou-telecom,jinan-telecom,19.2234,0.0,icmp,1590942319,2020-05-31 16:25:19+00:00
1536991,suzhou-telecom,jinan-telecom,27.7874,0.0,icmp,1590942420,2020-05-31 16:27:00+00:00
1537273,suzhou-telecom,jinan-telecom,26.7025,0.0,icmp,1590942540,2020-05-31 16:29:00+00:00
1537482,suzhou-telecom,jinan-telecom,19.3133,0.0,icmp,1590942679,2020-05-31 16:31:19+00:00
1537744,suzhou-telecom,jinan-telecom,24.8603,0.0,icmp,1590942780,2020-05-31 16:33:00+00:00
1538020,suzhou-telecom,jinan-telecom,31.1027,0.0,icmp,1590942900,2020-05-31 16:35:00+00:00
1538245,suzhou-telecom,jinan-telecom,19.6866,0.0,icmp,1590943039,2020-05-31 16:37:19+00:00
1538516,suzhou-telecom,jinan-telecom,26.4756,0.0,icmp,1590943140,2020-05-31 16:39:00+00:00
1538753,suzhou-telecom,jinan-telecom,20.5671,0.0,icmp,1590943260,2020-05-31 16:41:00+00:00
1539010,suzhou-telecom,jinan-telecom,24.0288,0.0,icmp,1590943380,2020-05-31 16:43:00+00:00
1539284,suzhou-telecom,jinan-telecom,24.4246,0.0,icmp,1590943500,2020-05-31 16:45:00+00:00
1539514,suzhou-telecom,jinan-telecom,20.3588,0.0,icmp,1590943620,2020-05-31 16:47:00+00:00
1539764,suzhou-telecom,jinan-telecom,21.132,0.0,icmp,1590943740,2020-05-31 16:49:00+00:00
1540015,suzhou-telecom,jinan-telecom,19.3222,0.0,icmp,1590943879,2020-05-31 16:51:19+00:00
1540268,suzhou-telecom,jinan-telecom,24.5332,0.0,icmp,1590943980,2020-05-31 16:53:00+00:00
