Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
2591011,suzhou-telecom,wuxi-telecom-2,2.6688,0.0,icmp,1590940759,2020-05-31 15:59:19+00:00
2591241,suzhou-telecom,wuxi-telecom-2,2.8562,0.0,icmp,1590940860,2020-05-31 16:01:00+00:00
2591472,suzhou-telecom,wuxi-telecom-2,4.5948,0.0,icmp,1590940980,2020-05-31 16:03:00+00:00
2591756,suzhou-telecom,wuxi-telecom-2,3.1487,0.0,icmp,1590941119,2020-05-31 16:05:19+00:00
2591973,suzhou-telecom,wuxi-telecom-2,2.7301,0.0,icmp,1590941239,2020-05-31 16:07:19+00:00
2592256,suzhou-telecom,wuxi-telecom-2,2.75,0.0,icmp,1590941359,2020-05-31 16:09:19+00:00
2592493,suzhou-telecom,wuxi-telecom-2,2.8434,0.0,icmp,1590941460,2020-05-31 16:11:00+00:00
2592737,suzhou-telecom,wuxi-telecom-2,3.2561,0.0,icmp,1590941580,2020-05-31 16:13:00+00:00
2592954,suzhou-telecom,wuxi-telecom-2,3.924,0.0,icmp,1590941700,2020-05-31 16:15:00+00:00
2593210,suzhou-telecom,wuxi-telecom-2,2.9001,0.0,icmp,1590941820,2020-05-31 16:17:00+00:00
2593481,suzhou-telecom,wuxi-telecom-2,2.9179,0.0,icmp,1590941940,2020-05-31 16:19:00+00:00
2593720,suzhou-telecom,wuxi-telecom-2,3.2714,0.0,icmp,1590942079,2020-05-31 16:21:19+00:00
2593981,suzhou-telecom,wuxi-telecom-2,2.8138,0.0,icmp,1590942180,2020-05-31 16:23:00+00:00
2594227,suzhou-telecom,wuxi-telecom-2,2.9508,0.0,icmp,1590942319,2020-05-31 16:25:19+00:00
2594464,suzhou-telecom,wuxi-telecom-2,5.8255,0.0,icmp,1590942420,2020-05-31 16:27:00+00:00
2594711,suzhou-telecom,wuxi-telecom-2,3.095,0.0,icmp,1590942540,2020-05-31 16:29:00+00:00
2594923,suzhou-telecom,wuxi-telecom-2,2.7275,0.0,icmp,1590942660,2020-05-31 16:31:00+00:00
