Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
2003245,wenzhou-telecom,suzhou-telecom,23.4529,0.0,icmp,1590940800,2020-05-31 16:00:00+00:00
2003490,wenzhou-telecom,suzhou-telecom,16.4641,0.0,icmp,1590940879,2020-05-31 16:01:19+00:00
2003728,wenzhou-telecom,suzhou-telecom,19.4355,0.0,icmp,1590941040,2020-05-31 16:04:00+00:00
2004002,wenzhou-telecom,suzhou-telecom,26.8867,0.0,icmp,1590941160,2020-05-31 16:06:00+00:00
2004234,wenzhou-telecom,suzhou-telecom,16.3505,0.0,icmp,1590941239,2020-05-31 16:07:19+00:00
2004488,wenzhou-telecom,suzhou-telecom,19.9017,0.0,icmp,1590941400,2020-05-31 16:10:00+00:00
2004740,wenzhou-telecom,suzhou-telecom,25.6817,0.0,icmp,1590941520,2020-05-31 16:12:00+00:00
2004991,wenzhou-telecom,suzhou-telecom,23.7462,0.0,icmp,1590941640,2020-05-31 16:14:00+00:00
2005235,wenzhou-telecom,suzhou-telecom,22.0519,0.0,icmp,1590941760,2020-05-31 16:16:00+00:00
2005481,wenzhou-telecom,suzhou-telecom,21.481,0.0,icmp,1590941880,2020-05-31 16:18:00+00:00
2005727,wenzhou-telecom,suzhou-telecom,28.1964,0.0,icmp,1590942000,2020-05-31 16:20:00+00:00
2005970,wenzhou-telecom,suzhou-telecom,25.2923,0.0,icmp,1590942120,2020-05-31 16:22:00+00:00
2006217,wenzhou-telecom,suzhou-telecom,16.4223,0.0,icmp,1590942259,2020-05-31 16:24:19+00:00
2006487,wenzhou-telecom,suzhou-telecom,24.8976,0.0,icmp,1590942360,2020-05-31 16:26:00+00:00
2006736,wenzhou-telecom,suzhou-telecom,21.6585,0.0,icmp,1590942480,2020-05-31 16:28:00+00:00
2006989,wenzhou-telecom,suzhou-telecom,21.498,0.0,icmp,1590942600,2020-05-31 16:30:00+00:00
2007232,wenzhou-telecom,suzhou-telecom,24.808,0.0,icmp,1590942720,2020-05-31 16:32:00+00:00
2007485,wenzhou-telecom,suzhou-telecom,17.4779,0.0,icmp,1590942840,2020-05-31 16:34:00+00:00
2007717,wenzhou-telecom,suzhou-telecom,17.9813,0.0,icmp,1590942960,2020-05-31 16:36:00+00:00
2008006,wenzhou-telecom,suzhou-telecom,16.4789,0.0,icmp,1590943039,2020-05-31 16:37:19+00:00
2008237,wenzhou-telecom,suzhou-telecom,16.6225,0.0,icmp,1590943159,2020-05-31 16:39:19+00:00
2008488,wenzhou-telecom,suzhou-telecom,17.0113,0.0,icmp,1590943279,2020-05-31 16:41:19+00:00
2008730,wenzhou-telecom,suzhou-telecom,18.3908,0.0,icmp,1590943440,2020-05-31 16:44:00+00:00
2008960,wenzhou-telecom,suzhou-telecom,16.9617,0.0,icmp,1590943519,2020-05-31 16:45:19+00:00
2009232,wenzhou-telecom,suzhou-telecom,18.8873,0.0,icmp,1590943680,2020-05-31 16:48:00+00:00
2009477,wenzhou-telecom,suzhou-telecom,23.6578,0.0,icmp,1590943800,2020-05-31 16:50:00+00:00
2009742,wenzhou-telecom,suzhou-telecom,27.8589,0.0,icmp,1590943920,2020-05-31 16:52:00+00:00
2009972,wenzhou-telecom,suzhou-telecom,24.2343,0.0,icmp,1590944040,2020-05-31 16:54:00+00:00
2010236,wenzhou-telecom,suzhou-telecom,24.5346,0.0,icmp,1590944160,2020-05-31 16:56:00+00:00
2010465,wenzhou-telecom,suzhou-telecom,22.4656,0.0,icmp,1590944280,2020-05-31 16:58:00+00:00
2010747,wenzhou-telecom,suzhou-telecom,19.033,0.0,icmp,1590944400,2020-05-31 17:00:00+00:00
2010979,wenzhou-telecom,suzhou-telecom,26.9145,0.0,icmp,1590944520,2020-05-31 17:02:00+00:00
2011233,wenzhou-telecom,suzhou-telecom,22.4717,0.0,icmp,1590944640,2020-05-31 17:04:00+00:00
2011479,wenzhou-telecom,suzhou-telecom,16.4977,0.0,icmp,1590944719,2020-05-31 17:05:19+00:00
2011728,wenzhou-telecom,suzhou-telecom,18.1733,0.0,icmp,1590944880,2020-05-31 17:08:00+00:00
2011990,wenzhou-telecom,suzhou-telecom,26.0404,0.0,icmp,1590945000,2020-05-31 17:10:00+00:00
2012248,wenzhou-telecom,suzhou-telecom,22.4067,0.0,icmp,1590945120,2020-05-31 17:12:00+00:00
2012482,wenzhou-telecom,suzhou-telecom,21.5518,0.0,icmp,1590945240,2020-05-31 17:14:00+00:00
2012731,wenzhou-telecom,suzhou-telecom,25.4555,0.0,icmp,1590945360,2020-05-31 17:16:00+00:00
2012969,wenzhou-telecom,suzhou-telecom,16.8745,0.0,icmp,1590945499,2020-05-31 17:18:19+00:00
2013238,wenzhou-telecom,suzhou-telecom,20.8415,0.0,icmp,1590945600,2020-05-31 17:20:00+00:00
2013490,wenzhou-telecom,suzhou-telecom,31.6943,0.0,icmp,1590945720,2020-05-31 17:22:00+00:00
2013724,wenzhou-telecom,suzhou-telecom,21.5745,0.0,icmp,1590945840,2020-05-31 17:24:00+00:00
2013968,wenzhou-telecom,suzhou-telecom,17.8914,0.0,icmp,1590945960,2020-05-31 17:26:00+00:00
2014218,wenzhou-telecom,suzhou-telecom,23.8873,0.0,icmp,1590946080,2020-05-31 17:28:00+00:00
2014465,wenzhou-telecom,suzhou-telecom,23.504,0.0,icmp,1590946200,2020-05-31 17:30:00+00:00
2014740,wenzhou-telecom,suzhou-telecom,21.5866,0.0,icmp,1590946320,2020-05-31 17:32:00+00:00
2015004,wenzhou-telecom,suzhou-telecom,21.2197,0.0,icmp,1590946440,2020-05-31 17:34:00+00:00
2015238,wenzhou-telecom,suzhou-telecom,25.3759,0.0,icmp,1590946560,2020-05-31 17:36:00+00:00
2015484,wenzhou-telecom,suzhou-telecom,29.4014,0.0,icmp,1590946680,2020-05-31 17:38:00+00:00
2015716,wenzhou-telecom,suzhou-telecom,16.8487,0.0,icmp,1590946819,2020-05-31 17:40:19+00:00
2015988,wenzhou-telecom,suzhou-telecom,23.8043,0.0,icmp,1590946920,2020-05-31 17:42:00+00:00
2016229,wenzhou-telecom,suzhou-telecom,26.0166,0.0,icmp,1590947040,2020-05-31 17:44:00+00:00
2016499,wenzhou-telecom,suzhou-telecom,16.9103,0.0,icmp,1590947119,2020-05-31 17:45:19+00:00
2016742,wenzhou-telecom,suzhou-telecom,18.4064,0.0,icmp,1590947280,2020-05-31 17:48:00+00:00
2016989,wenzhou-telecom,suzhou-telecom,25.1123,0.0,icmp,1590947400,2020-05-31 17:50:00+00:00
2017229,wenzhou-telecom,suzhou-telecom,17.0631,0.0,icmp,1590947479,2020-05-31 17:51:19+00:00
2017477,wenzhou-telecom,suzhou-telecom,16.9359,0.0,icmp,1590947599,2020-05-31 17:53:19+00:00
2017737,wenzhou-telecom,suzhou-telecom,22.6334,0.0,icmp,1590947760,2020-05-31 17:56:00+00:00
2017988,wenzhou-telecom,suzhou-telecom,23.0106,0.0,icmp,1590947880,2020-05-31 17:58:00+00:00
