Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
5652899,wuhan-telecom,qingdao-telecom,52.6058,1.0,icmp,1590940740,2020-05-31 15:59:00+00:00
5653168,wuhan-telecom,qingdao-telecom,54.4873,0.0,icmp,1590940860,2020-05-31 16:01:00+00:00
5653428,wuhan-telecom,qingdao-telecom,51.64,0.0,icmp,1590940980,2020-05-31 16:03:00+00:00
5653686,wuhan-telecom,qingdao-telecom,55.8106,0.0,icmp,1590941100,2020-05-31 16:05:00+00:00
5653948,wuhan-telecom,qingdao-telecom,50.6901,0.0,icmp,1590941220,2020-05-31 16:07:00+00:00
5654195,wuhan-telecom,qingdao-telecom,50.2307,0.0,icmp,1590941340,2020-05-31 16:09:00+00:00
5654440,wuhan-telecom,qingdao-telecom,53.7043,0.0,icmp,1590941460,2020-05-31 16:11:00+00:00
5654717,wuhan-telecom,qingdao-telecom,43.8908,0.0,icmp,1590941539,2020-05-31 16:12:19+00:00
5654951,wuhan-telecom,qingdao-telecom,44.1511,0.0,icmp,1590941659,2020-05-31 16:14:19+00:00
5655234,wuhan-telecom,qingdao-telecom,53.5272,0.0,icmp,1590941820,2020-05-31 16:17:00+00:00
5655475,wuhan-telecom,qingdao-telecom,52.2312,0.0,icmp,1590941940,2020-05-31 16:19:00+00:00
5655736,wuhan-telecom,qingdao-telecom,52.3171,0.0,icmp,1590942060,2020-05-31 16:21:00+00:00
5655998,wuhan-telecom,qingdao-telecom,44.1262,0.0,icmp,1590942180,2020-05-31 16:23:00+00:00
5656241,wuhan-telecom,qingdao-telecom,49.781,0.0,icmp,1590942300,2020-05-31 16:25:00+00:00
5656496,wuhan-telecom,qingdao-telecom,47.9788,0.0,icmp,1590942420,2020-05-31 16:27:00+00:00
5656778,wuhan-telecom,qingdao-telecom,49.2294,0.0,icmp,1590942540,2020-05-31 16:29:00+00:00
5657020,wuhan-telecom,qingdao-telecom,53.1222,0.0,icmp,1590942660,2020-05-31 16:31:00+00:00
5657275,wuhan-telecom,qingdao-telecom,53.2957,0.0,icmp,1590942780,2020-05-31 16:33:00+00:00
5657555,wuhan-telecom,qingdao-telecom,52.9549,0.0,icmp,1590942900,2020-05-31 16:35:00+00:00
5657779,wuhan-telecom,qingdao-telecom,53.5536,0.0,icmp,1590943020,2020-05-31 16:37:00+00:00
5658059,wuhan-telecom,qingdao-telecom,50.9118,0.0,icmp,1590943140,2020-05-31 16:39:00+00:00
5658295,wuhan-telecom,qingdao-telecom,52.1637,0.0,icmp,1590943260,2020-05-31 16:41:00+00:00
5658574,wuhan-telecom,qingdao-telecom,54.0586,0.0,icmp,1590943380,2020-05-31 16:43:00+00:00
