Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
6827229,wuhan-telecom,wenzhou-telecom,30.0236,0.0,icmp,1590940800,2020-05-31 16:00:00+00:00
6827484,wuhan-telecom,wenzhou-telecom,34.1703,0.0,icmp,1590940920,2020-05-31 16:02:00+00:00
6827696,wuhan-telecom,wenzhou-telecom,32.3592,0.0,icmp,1590941040,2020-05-31 16:04:00+00:00
6827922,wuhan-telecom,wenzhou-telecom,37.7282,0.0,icmp,1590941160,2020-05-31 16:06:00+00:00
6828103,wuhan-telecom,wenzhou-telecom,22.6136,0.0,icmp,1590941280,2020-05-31 16:08:00+00:00
6828354,wuhan-telecom,wenzhou-telecom,33.6524,0.0,icmp,1590941400,2020-05-31 16:10:00+00:00
6828594,wuhan-telecom,wenzhou-telecom,29.3294,0.0,icmp,1590941520,2020-05-31 16:12:00+00:00
6828784,wuhan-telecom,wenzhou-telecom,25.2117,0.0,icmp,1590941640,2020-05-31 16:14:00+00:00
6829047,wuhan-telecom,wenzhou-telecom,32.0416,0.0,icmp,1590941760,2020-05-31 16:16:00+00:00
6829237,wuhan-telecom,wenzhou-telecom,30.9244,0.0,icmp,1590941880,2020-05-31 16:18:00+00:00
6829453,wuhan-telecom,wenzhou-telecom,32.0088,0.0,icmp,1590942000,2020-05-31 16:20:00+00:00
6829676,wuhan-telecom,wenzhou-telecom,18.4053,0.0,icmp,1590942139,2020-05-31 16:22:19+00:00
6829911,wuhan-telecom,wenzhou-telecom,31.3964,0.0,icmp,1590942240,2020-05-31 16:24:00+00:00
6830136,wuhan-telecom,wenzhou-telecom,18.5645,0.0,icmp,1590942379,2020-05-31 16:26:19+00:00
6830342,wuhan-telecom,wenzhou-telecom,22.2033,0.0,icmp,1590942480,2020-05-31 16:28:00+00:00
6830597,wuhan-telecom,wenzhou-telecom,29.388,0.0,icmp,1590942600,2020-05-31 16:30:00+00:00
6830828,wuhan-telecom,wenzhou-telecom,30.6941,0.0,icmp,1590942720,2020-05-31 16:32:00+00:00
6831038,wuhan-telecom,wenzhou-telecom,23.2151,0.0,icmp,1590942840,2020-05-31 16:34:00+00:00
6831270,wuhan-telecom,wenzhou-telecom,27.9061,0.0,icmp,1590942960,2020-05-31 16:36:00+00:00
6831499,wuhan-telecom,wenzhou-telecom,36.4742,0.0,icmp,1590943080,2020-05-31 16:38:00+00:00
6831702,wuhan-telecom,wenzhou-telecom,27.3029,0.0,icmp,1590943200,2020-05-31 16:40:00+00:00
6831910,wuhan-telecom,wenzhou-telecom,18.5954,0.0,icmp,1590943339,2020-05-31 16:42:19+00:00
6832147,wuhan-telecom,wenzhou-telecom,33.6931,0.0,icmp,1590943440,2020-05-31 16:44:00+00:00
6832382,wuhan-telecom,wenzhou-telecom,31.9906,0.0,icmp,1590943560,2020-05-31 16:46:00+00:00
6832586,wuhan-telecom,wenzhou-telecom,31.7323,0.0,icmp,1590943680,2020-05-31 16:48:00+00:00
6832804,wuhan-telecom,wenzhou-telecom,30.6111,0.0,icmp,1590943800,2020-05-31 16:50:00+00:00
6833053,wuhan-telecom,wenzhou-telecom,18.3659,0.0,icmp,1590943939,2020-05-31 16:52:19+00:00
6833280,wuhan-telecom,wenzhou-telecom,23.6516,0.0,icmp,1590944040,2020-05-31 16:54:00+00:00
6833503,wuhan-telecom,wenzhou-telecom,32.1951,0.0,icmp,1590944160,2020-05-31 16:56:00+00:00
6833688,wuhan-telecom,wenzhou-telecom,18.4016,0.0,icmp,1590944299,2020-05-31 16:58:19+00:00
6833944,wuhan-telecom,wenzhou-telecom,39.578,0.0,icmp,1590944400,2020-05-31 17:00:00+00:00
6834160,wuhan-telecom,wenzhou-telecom,24.3648,0.0,icmp,1590944520,2020-05-31 17:02:00+00:00
6834387,wuhan-telecom,wenzhou-telecom,18.4625,0.0,icmp,1590944659,2020-05-31 17:04:19+00:00
6834587,wuhan-telecom,wenzhou-telecom,18.5098,0.0,icmp,1590944779,2020-05-31 17:06:19+00:00
6834844,wuhan-telecom,wenzhou-telecom,34.0935,0.0,icmp,1590944880,2020-05-31 17:08:00+00:00
6835026,wuhan-telecom,wenzhou-telecom,27.7197,0.0,icmp,1590945000,2020-05-31 17:10:00+00:00
6835291,wuhan-telecom,wenzhou-telecom,34.3992,0.0,icmp,1590945120,2020-05-31 17:12:00+00:00
6835494,wuhan-telecom,wenzhou-telecom,28.4372,0.0,icmp,1590945240,2020-05-31 17:14:00+00:00
6835707,wuhan-telecom,wenzhou-telecom,37.2259,0.0,icmp,1590945360,2020-05-31 17:16:00+00:00
6835940,wuhan-telecom,wenzhou-telecom,18.3266,0.0,icmp,1590945499,2020-05-31 17:18:19+00:00
6836163,wuhan-telecom,wenzhou-telecom,18.5669,0.0,icmp,1590945619,2020-05-31 17:20:19+00:00
6836401,wuhan-telecom,wenzhou-telecom,33.799,0.0,icmp,1590945720,2020-05-31 17:22:00+00:00
6836629,wuhan-telecom,wenzhou-telecom,18.3599,0.0,icmp,1590945859,2020-05-31 17:24:19+00:00
6836831,wuhan-telecom,wenzhou-telecom,18.34,0.0,icmp,1590945979,2020-05-31 17:26:19+00:00
6837058,wuhan-telecom,wenzhou-telecom,19.0983,0.0,icmp,1590946099,2020-05-31 17:28:19+00:00
6837273,wuhan-telecom,wenzhou-telecom,29.2528,0.0,icmp,1590946200,2020-05-31 17:30:00+00:00
6837494,wuhan-telecom,wenzhou-telecom,38.0853,0.0,icmp,1590946320,2020-05-31 17:32:00+00:00
6837706,wuhan-telecom,wenzhou-telecom,36.1203,0.0,icmp,1590946440,2020-05-31 17:34:00+00:00
6837939,wuhan-telecom,wenzhou-telecom,36.6343,0.0,icmp,1590946560,2020-05-31 17:36:00+00:00
6838167,wuhan-telecom,wenzhou-telecom,25.1703,0.0,icmp,1590946680,2020-05-31 17:38:00+00:00
6838392,wuhan-telecom,wenzhou-telecom,18.5498,0.0,icmp,1590946819,2020-05-31 17:40:19+00:00
6838636,wuhan-telecom,wenzhou-telecom,36.2663,0.0,icmp,1590946920,2020-05-31 17:42:00+00:00
6838832,wuhan-telecom,wenzhou-telecom,32.6758,0.0,icmp,1590947040,2020-05-31 17:44:00+00:00
6839050,wuhan-telecom,wenzhou-telecom,18.512,0.0,icmp,1590947179,2020-05-31 17:46:19+00:00
6839278,wuhan-telecom,wenzhou-telecom,18.5872,0.0,icmp,1590947299,2020-05-31 17:48:19+00:00
6839486,wuhan-telecom,wenzhou-telecom,18.7833,0.0,icmp,1590947419,2020-05-31 17:50:19+00:00
6839727,wuhan-telecom,wenzhou-telecom,26.3477,0.0,icmp,1590947520,2020-05-31 17:52:00+00:00
6839961,wuhan-telecom,wenzhou-telecom,18.5339,0.0,icmp,1590947659,2020-05-31 17:54:19+00:00
6840172,wuhan-telecom,wenzhou-telecom,18.6458,0.0,icmp,1590947779,2020-05-31 17:56:19+00:00
6840386,wuhan-telecom,wenzhou-telecom,18.5953,0.0,icmp,1590947899,2020-05-31 17:58:19+00:00
6840636,wuhan-telecom,wenzhou-telecom,34.6444,0.0,icmp,1590948000,2020-05-31 18:00:00+00:00
6840849,wuhan-telecom,wenzhou-telecom,18.7412,0.0,icmp,1590948139,2020-05-31 18:02:19+00:00
6841088,wuhan-telecom,wenzhou-telecom,18.5383,0.0,icmp,1590948259,2020-05-31 18:04:19+00:00
6841296,wuhan-telecom,wenzhou-telecom,35.6058,0.0,icmp,1590948360,2020-05-31 18:06:00+00:00
6841519,wuhan-telecom,wenzhou-telecom,32.382,0.0,icmp,1590948480,2020-05-31 18:08:00+00:00
6841731,wuhan-telecom,wenzhou-telecom,18.5396,0.0,icmp,1590948619,2020-05-31 18:10:19+00:00
6841964,wuhan-telecom,wenzhou-telecom,31.8566,0.0,icmp,1590948720,2020-05-31 18:12:00+00:00
6842190,wuhan-telecom,wenzhou-telecom,38.3435,0.0,icmp,1590948840,2020-05-31 18:14:00+00:00
6842403,wuhan-telecom,wenzhou-telecom,18.5671,0.0,icmp,1590948979,2020-05-31 18:16:19+00:00
6842609,wuhan-telecom,wenzhou-telecom,18.6192,0.0,icmp,1590949099,2020-05-31 18:18:19+00:00
6842873,wuhan-telecom,wenzhou-telecom,31.0489,0.0,icmp,1590949200,2020-05-31 18:20:00+00:00
6843072,wuhan-telecom,wenzhou-telecom,18.5482,0.0,icmp,1590949339,2020-05-31 18:22:19+00:00
6843294,wuhan-telecom,wenzhou-telecom,35.339,0.0,icmp,1590949440,2020-05-31 18:24:00+00:00
6843514,wuhan-telecom,wenzhou-telecom,18.6859,0.0,icmp,1590949579,2020-05-31 18:26:19+00:00
6843736,wuhan-telecom,wenzhou-telecom,29.8788,0.0,icmp,1590949680,2020-05-31 18:28:00+00:00
6843987,wuhan-telecom,wenzhou-telecom,32.4053,0.0,icmp,1590949800,2020-05-31 18:30:00+00:00
6844175,wuhan-telecom,wenzhou-telecom,18.5258,0.0,icmp,1590949939,2020-05-31 18:32:19+00:00
6844427,wuhan-telecom,wenzhou-telecom,24.7287,0.0,icmp,1590950040,2020-05-31 18:34:00+00:00
6844648,wuhan-telecom,wenzhou-telecom,36.438,0.0,icmp,1590950160,2020-05-31 18:36:00+00:00
6844872,wuhan-telecom,wenzhou-telecom,40.3847,0.0,icmp,1590950280,2020-05-31 18:38:00+00:00
6845075,wuhan-telecom,wenzhou-telecom,34.6752,0.0,icmp,1590950400,2020-05-31 18:40:00+00:00
6845276,wuhan-telecom,wenzhou-telecom,18.3211,0.0,icmp,1590950539,2020-05-31 18:42:19+00:00
6845525,wuhan-telecom,wenzhou-telecom,18.3127,0.0,icmp,1590950659,2020-05-31 18:44:19+00:00
6845755,wuhan-telecom,wenzhou-telecom,33.4916,0.0,icmp,1590950760,2020-05-31 18:46:00+00:00
6845981,wuhan-telecom,wenzhou-telecom,22.5228,0.0,icmp,1590950880,2020-05-31 18:48:00+00:00
6846203,wuhan-telecom,wenzhou-telecom,18.4216,0.0,icmp,1590951019,2020-05-31 18:50:19+00:00
6846425,wuhan-telecom,wenzhou-telecom,26.119,0.0,icmp,1590951120,2020-05-31 18:52:00+00:00
6846662,wuhan-telecom,wenzhou-telecom,27.2263,0.0,icmp,1590951240,2020-05-31 18:54:00+00:00
6846847,wuhan-telecom,wenzhou-telecom,33.8805,0.0,icmp,1590951360,2020-05-31 18:56:00+00:00
6847079,wuhan-telecom,wenzhou-telecom,35.9459,0.0,icmp,1590951480,2020-05-31 18:58:00+00:00
6847292,wuhan-telecom,wenzhou-telecom,26.0698,0.0,icmp,1590951600,2020-05-31 19:00:00+00:00
6847521,wuhan-telecom,wenzhou-telecom,18.3815,0.0,icmp,1590951739,2020-05-31 19:02:19+00:00
6847767,wuhan-telecom,wenzhou-telecom,18.3302,0.0,icmp,1590951859,2020-05-31 19:04:19+00:00
6847959,wuhan-telecom,wenzhou-telecom,18.4618,0.0,icmp,1590951979,2020-05-31 19:06:19+00:00
6848207,wuhan-telecom,wenzhou-telecom,31.6832,0.0,icmp,1590952080,2020-05-31 19:08:00+00:00
6848425,wuhan-telecom,wenzhou-telecom,18.2637,0.0,icmp,1590952219,2020-05-31 19:10:19+00:00
6848637,wuhan-telecom,wenzhou-telecom,38.339,0.0,icmp,1590952320,2020-05-31 19:12:00+00:00
6848859,wuhan-telecom,wenzhou-telecom,25.6297,0.0,icmp,1590952440,2020-05-31 19:14:00+00:00
6849114,wuhan-telecom,wenzhou-telecom,31.1019,0.0,icmp,1590952560,2020-05-31 19:16:00+00:00
6849334,wuhan-telecom,wenzhou-telecom,38.6588,0.0,icmp,1590952680,2020-05-31 19:18:00+00:00
6849530,wuhan-telecom,wenzhou-telecom,37.2815,0.0,icmp,1590952800,2020-05-31 19:20:00+00:00
6849758,wuhan-telecom,wenzhou-telecom,31.5425,0.0,icmp,1590952920,2020-05-31 19:22:00+00:00
6850002,wuhan-telecom,wenzhou-telecom,30.81,0.0,icmp,1590953040,2020-05-31 19:24:00+00:00
6850215,wuhan-telecom,wenzhou-telecom,39.5045,0.0,icmp,1590953160,2020-05-31 19:26:00+00:00
6850452,wuhan-telecom,wenzhou-telecom,18.3912,0.0,icmp,1590953299,2020-05-31 19:28:19+00:00
6850638,wuhan-telecom,wenzhou-telecom,18.5108,0.0,icmp,1590953419,2020-05-31 19:30:19+00:00
6850864,wuhan-telecom,wenzhou-telecom,38.4344,0.0,icmp,1590953520,2020-05-31 19:32:00+00:00
6851115,wuhan-telecom,wenzhou-telecom,35.8246,0.0,icmp,1590953640,2020-05-31 19:34:00+00:00
6851307,wuhan-telecom,wenzhou-telecom,30.9302,0.0,icmp,1590953760,2020-05-31 19:36:00+00:00
6851530,wuhan-telecom,wenzhou-telecom,35.9391,0.0,icmp,1590953880,2020-05-31 19:38:00+00:00
6851789,wuhan-telecom,wenzhou-telecom,18.5738,0.0,icmp,1590954019,2020-05-31 19:40:19+00:00
6852010,wuhan-telecom,wenzhou-telecom,25.6207,0.0,icmp,1590954120,2020-05-31 19:42:00+00:00
6852190,wuhan-telecom,wenzhou-telecom,30.6867,0.0,icmp,1590954240,2020-05-31 19:44:00+00:00
6852427,wuhan-telecom,wenzhou-telecom,34.1969,0.0,icmp,1590954360,2020-05-31 19:46:00+00:00
6852678,wuhan-telecom,wenzhou-telecom,25.7834,0.0,icmp,1590954480,2020-05-31 19:48:00+00:00
6852903,wuhan-telecom,wenzhou-telecom,29.6028,0.0,icmp,1590954600,2020-05-31 19:50:00+00:00
6853119,wuhan-telecom,wenzhou-telecom,31.2816,0.0,icmp,1590954720,2020-05-31 19:52:00+00:00
6853314,wuhan-telecom,wenzhou-telecom,18.3611,0.0,icmp,1590954859,2020-05-31 19:54:19+00:00
6853547,wuhan-telecom,wenzhou-telecom,30.8338,0.0,icmp,1590954960,2020-05-31 19:56:00+00:00
6853780,wuhan-telecom,wenzhou-telecom,29.869,0.0,icmp,1590955080,2020-05-31 19:58:00+00:00
6854014,wuhan-telecom,wenzhou-telecom,18.5346,0.0,icmp,1590955219,2020-05-31 20:00:19+00:00
6854190,wuhan-telecom,wenzhou-telecom,18.3945,0.0,icmp,1590955339,2020-05-31 20:02:19+00:00
6854466,wuhan-telecom,wenzhou-telecom,18.9491,0.0,icmp,1590955459,2020-05-31 20:04:19+00:00
6854676,wuhan-telecom,wenzhou-telecom,18.4548,0.0,icmp,1590955579,2020-05-31 20:06:19+00:00
6854883,wuhan-telecom,wenzhou-telecom,43.0144,0.0,icmp,1590955680,2020-05-31 20:08:00+00:00
6855123,wuhan-telecom,wenzhou-telecom,31.5131,0.0,icmp,1590955800,2020-05-31 20:10:00+00:00
