Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
2239361,wuhan-telecom,wuhu-telecom,14.0257,0.0,icmp,1590940800,2020-05-31 16:00:00+00:00
2239656,wuhan-telecom,wuhu-telecom,14.2859,0.0,icmp,1590940920,2020-05-31 16:02:00+00:00
2239919,wuhan-telecom,wuhu-telecom,12.1738,0.0,icmp,1590941040,2020-05-31 16:04:00+00:00
2240182,wuhan-telecom,wuhu-telecom,31.6141,0.0,icmp,1590941160,2020-05-31 16:06:00+00:00
2240390,wuhan-telecom,wuhu-telecom,15.3551,0.0,icmp,1590941280,2020-05-31 16:08:00+00:00
2240709,wuhan-telecom,wuhu-telecom,14.3291,0.0,icmp,1590941400,2020-05-31 16:10:00+00:00
2240973,wuhan-telecom,wuhu-telecom,20.1714,0.0,icmp,1590941520,2020-05-31 16:12:00+00:00
2241212,wuhan-telecom,wuhu-telecom,10.6274,0.0,icmp,1590941640,2020-05-31 16:14:00+00:00
2241498,wuhan-telecom,wuhu-telecom,12.6843,0.0,icmp,1590941760,2020-05-31 16:16:00+00:00
2241716,wuhan-telecom,wuhu-telecom,19.7355,0.0,icmp,1590941880,2020-05-31 16:18:00+00:00
2241996,wuhan-telecom,wuhu-telecom,19.3415,0.0,icmp,1590942000,2020-05-31 16:20:00+00:00
2242252,wuhan-telecom,wuhu-telecom,15.6751,0.0,icmp,1590942120,2020-05-31 16:22:00+00:00
2242520,wuhan-telecom,wuhu-telecom,10.3031,0.0,icmp,1590942259,2020-05-31 16:24:19+00:00
2242788,wuhan-telecom,wuhu-telecom,14.8716,0.0,icmp,1590942360,2020-05-31 16:26:00+00:00
2243031,wuhan-telecom,wuhu-telecom,11.5345,0.0,icmp,1590942480,2020-05-31 16:28:00+00:00
2243341,wuhan-telecom,wuhu-telecom,11.0987,0.0,icmp,1590942600,2020-05-31 16:30:00+00:00
2243609,wuhan-telecom,wuhu-telecom,11.4429,0.0,icmp,1590942720,2020-05-31 16:32:00+00:00
2243844,wuhan-telecom,wuhu-telecom,10.4661,0.0,icmp,1590942840,2020-05-31 16:34:00+00:00
2244124,wuhan-telecom,wuhu-telecom,11.3281,0.0,icmp,1590942960,2020-05-31 16:36:00+00:00
2244399,wuhan-telecom,wuhu-telecom,22.7685,0.0,icmp,1590943080,2020-05-31 16:38:00+00:00
2244629,wuhan-telecom,wuhu-telecom,14.8355,0.0,icmp,1590943200,2020-05-31 16:40:00+00:00
2244873,wuhan-telecom,wuhu-telecom,10.6244,0.0,icmp,1590943339,2020-05-31 16:42:19+00:00
2245149,wuhan-telecom,wuhu-telecom,11.7936,0.0,icmp,1590943440,2020-05-31 16:44:00+00:00
2245428,wuhan-telecom,wuhu-telecom,22.0686,0.0,icmp,1590943560,2020-05-31 16:46:00+00:00
2245677,wuhan-telecom,wuhu-telecom,9.7002,0.0,icmp,1590943699,2020-05-31 16:48:19+00:00
2245945,wuhan-telecom,wuhu-telecom,11.7738,0.0,icmp,1590943800,2020-05-31 16:50:00+00:00
2246240,wuhan-telecom,wuhu-telecom,15.6567,0.0,icmp,1590943920,2020-05-31 16:52:00+00:00
2246502,wuhan-telecom,wuhu-telecom,10.3321,0.0,icmp,1590944040,2020-05-31 16:54:00+00:00
2246757,wuhan-telecom,wuhu-telecom,10.0957,0.0,icmp,1590944179,2020-05-31 16:56:19+00:00
2246977,wuhan-telecom,wuhu-telecom,19.7346,0.0,icmp,1590944280,2020-05-31 16:58:00+00:00
2247280,wuhan-telecom,wuhu-telecom,9.7958,0.0,icmp,1590944419,2020-05-31 17:00:19+00:00
2247527,wuhan-telecom,wuhu-telecom,12.0766,0.0,icmp,1590944520,2020-05-31 17:02:00+00:00
2247805,wuhan-telecom,wuhu-telecom,18.4116,0.0,icmp,1590944640,2020-05-31 17:04:00+00:00
2248042,wuhan-telecom,wuhu-telecom,9.8671,0.0,icmp,1590944779,2020-05-31 17:06:19+00:00
2248344,wuhan-telecom,wuhu-telecom,10.5485,0.0,icmp,1590944899,2020-05-31 17:08:19+00:00
2248546,wuhan-telecom,wuhu-telecom,9.7479,0.0,icmp,1590945000,2020-05-31 17:10:00+00:00
2248863,wuhan-telecom,wuhu-telecom,13.5868,0.0,icmp,1590945120,2020-05-31 17:12:00+00:00
2249107,wuhan-telecom,wuhu-telecom,16.4855,0.0,icmp,1590945240,2020-05-31 17:14:00+00:00
2249361,wuhan-telecom,wuhu-telecom,22.2448,0.0,icmp,1590945360,2020-05-31 17:16:00+00:00
2249645,wuhan-telecom,wuhu-telecom,16.1266,0.0,icmp,1590945480,2020-05-31 17:18:00+00:00
2249895,wuhan-telecom,wuhu-telecom,12.727,0.0,icmp,1590945600,2020-05-31 17:20:00+00:00
2250175,wuhan-telecom,wuhu-telecom,17.8295,0.0,icmp,1590945720,2020-05-31 17:22:00+00:00
2250442,wuhan-telecom,wuhu-telecom,27.6401,0.0,icmp,1590945840,2020-05-31 17:24:00+00:00
2250673,wuhan-telecom,wuhu-telecom,26.3959,0.0,icmp,1590945960,2020-05-31 17:26:00+00:00
2250955,wuhan-telecom,wuhu-telecom,10.3618,0.0,icmp,1590946099,2020-05-31 17:28:19+00:00
2251229,wuhan-telecom,wuhu-telecom,15.8495,0.0,icmp,1590946200,2020-05-31 17:30:00+00:00
2251465,wuhan-telecom,wuhu-telecom,20.6419,0.0,icmp,1590946320,2020-05-31 17:32:00+00:00
2251729,wuhan-telecom,wuhu-telecom,9.8634,0.0,icmp,1590946459,2020-05-31 17:34:19+00:00
2252003,wuhan-telecom,wuhu-telecom,15.2158,0.0,icmp,1590946560,2020-05-31 17:36:00+00:00
2252278,wuhan-telecom,wuhu-telecom,16.6935,0.0,icmp,1590946680,2020-05-31 17:38:00+00:00
2252508,wuhan-telecom,wuhu-telecom,12.6928,0.0,icmp,1590946800,2020-05-31 17:40:00+00:00
2252794,wuhan-telecom,wuhu-telecom,10.0766,0.0,icmp,1590946920,2020-05-31 17:42:00+00:00
2253065,wuhan-telecom,wuhu-telecom,18.0461,0.0,icmp,1590947040,2020-05-31 17:44:00+00:00
2253308,wuhan-telecom,wuhu-telecom,9.7803,0.0,icmp,1590947179,2020-05-31 17:46:19+00:00
2253597,wuhan-telecom,wuhu-telecom,17.6618,0.0,icmp,1590947280,2020-05-31 17:48:00+00:00
2253813,wuhan-telecom,wuhu-telecom,20.0943,0.0,icmp,1590947400,2020-05-31 17:50:00+00:00
2254086,wuhan-telecom,wuhu-telecom,10.3956,0.0,icmp,1590947520,2020-05-31 17:52:00+00:00
2254386,wuhan-telecom,wuhu-telecom,20.8531,0.0,icmp,1590947640,2020-05-31 17:54:00+00:00
2254630,wuhan-telecom,wuhu-telecom,12.6347,0.0,icmp,1590947760,2020-05-31 17:56:00+00:00
2254867,wuhan-telecom,wuhu-telecom,9.7107,0.0,icmp,1590947899,2020-05-31 17:58:19+00:00
2255170,wuhan-telecom,wuhu-telecom,21.5946,0.0,icmp,1590948000,2020-05-31 18:00:00+00:00
2255435,wuhan-telecom,wuhu-telecom,11.6587,0.0,icmp,1590948120,2020-05-31 18:02:00+00:00
2255706,wuhan-telecom,wuhu-telecom,19.1797,0.0,icmp,1590948240,2020-05-31 18:04:00+00:00
2255939,wuhan-telecom,wuhu-telecom,22.1856,0.0,icmp,1590948360,2020-05-31 18:06:00+00:00
2256211,wuhan-telecom,wuhu-telecom,9.9709,0.0,icmp,1590948499,2020-05-31 18:08:19+00:00
2256465,wuhan-telecom,wuhu-telecom,18.4495,0.0,icmp,1590948600,2020-05-31 18:10:00+00:00
2256743,wuhan-telecom,wuhu-telecom,14.49,0.0,icmp,1590948720,2020-05-31 18:12:00+00:00
2257002,wuhan-telecom,wuhu-telecom,9.7867,0.0,icmp,1590948859,2020-05-31 18:14:19+00:00
2257271,wuhan-telecom,wuhu-telecom,12.4879,0.0,icmp,1590948960,2020-05-31 18:16:00+00:00
2257499,wuhan-telecom,wuhu-telecom,10.1984,0.0,icmp,1590949080,2020-05-31 18:18:00+00:00
2257800,wuhan-telecom,wuhu-telecom,13.5787,0.0,icmp,1590949200,2020-05-31 18:20:00+00:00
2258049,wuhan-telecom,wuhu-telecom,30.402,0.0,icmp,1590949320,2020-05-31 18:22:00+00:00
2258318,wuhan-telecom,wuhu-telecom,18.8473,0.0,icmp,1590949440,2020-05-31 18:24:00+00:00
2258564,wuhan-telecom,wuhu-telecom,12.1353,0.0,icmp,1590949560,2020-05-31 18:26:00+00:00
2258857,wuhan-telecom,wuhu-telecom,16.628,0.0,icmp,1590949680,2020-05-31 18:28:00+00:00
2259127,wuhan-telecom,wuhu-telecom,10.3439,0.0,icmp,1590949819,2020-05-31 18:30:19+00:00
2259327,wuhan-telecom,wuhu-telecom,25.0941,0.0,icmp,1590949920,2020-05-31 18:32:00+00:00
2259649,wuhan-telecom,wuhu-telecom,17.265,0.0,icmp,1590950040,2020-05-31 18:34:00+00:00
2259895,wuhan-telecom,wuhu-telecom,20.3608,0.0,icmp,1590950160,2020-05-31 18:36:00+00:00
2260153,wuhan-telecom,wuhu-telecom,11.4502,0.0,icmp,1590950280,2020-05-31 18:38:00+00:00
2260412,wuhan-telecom,wuhu-telecom,27.5919,0.0,icmp,1590950400,2020-05-31 18:40:00+00:00
2260660,wuhan-telecom,wuhu-telecom,24.1744,0.0,icmp,1590950520,2020-05-31 18:42:00+00:00
2260939,wuhan-telecom,wuhu-telecom,12.7171,0.0,icmp,1590950640,2020-05-31 18:44:00+00:00
2261189,wuhan-telecom,wuhu-telecom,17.5783,0.0,icmp,1590950760,2020-05-31 18:46:00+00:00
2261473,wuhan-telecom,wuhu-telecom,16.0931,0.0,icmp,1590950880,2020-05-31 18:48:00+00:00
2261739,wuhan-telecom,wuhu-telecom,26.8697,0.0,icmp,1590951000,2020-05-31 18:50:00+00:00
2261995,wuhan-telecom,wuhu-telecom,16.7566,0.0,icmp,1590951120,2020-05-31 18:52:00+00:00
2262271,wuhan-telecom,wuhu-telecom,16.8787,0.0,icmp,1590951240,2020-05-31 18:54:00+00:00
2262499,wuhan-telecom,wuhu-telecom,9.744,0.0,icmp,1590951379,2020-05-31 18:56:19+00:00
2262779,wuhan-telecom,wuhu-telecom,26.2596,0.0,icmp,1590951480,2020-05-31 18:58:00+00:00
2263012,wuhan-telecom,wuhu-telecom,15.3077,0.0,icmp,1590951600,2020-05-31 19:00:00+00:00
2263295,wuhan-telecom,wuhu-telecom,25.7622,0.0,icmp,1590951720,2020-05-31 19:02:00+00:00
2263591,wuhan-telecom,wuhu-telecom,15.8774,0.0,icmp,1590951840,2020-05-31 19:04:00+00:00
2263795,wuhan-telecom,wuhu-telecom,23.5198,0.0,icmp,1590951960,2020-05-31 19:06:00+00:00
2264097,wuhan-telecom,wuhu-telecom,9.7187,0.0,icmp,1590952099,2020-05-31 19:08:19+00:00
2264364,wuhan-telecom,wuhu-telecom,18.966,0.0,icmp,1590952200,2020-05-31 19:10:00+00:00
2264601,wuhan-telecom,wuhu-telecom,9.8523,0.0,icmp,1590952339,2020-05-31 19:12:19+00:00
2264865,wuhan-telecom,wuhu-telecom,15.7552,0.0,icmp,1590952440,2020-05-31 19:14:00+00:00
