Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
4830326,wuhu-telecom,suzhou-telecom,5.8288,0.0,icmp,1590940740,2020-05-31 15:59:00+00:00
4830553,wuhu-telecom,suzhou-telecom,5.7343,0.0,icmp,1590940819,2020-05-31 16:00:19+00:00
4830800,wuhu-telecom,suzhou-telecom,5.9405,0.0,icmp,1590940980,2020-05-31 16:03:00+00:00
4831023,wuhu-telecom,suzhou-telecom,5.7443,0.0,icmp,1590941100,2020-05-31 16:05:00+00:00
4831258,wuhu-telecom,suzhou-telecom,7.9159,0.0,icmp,1590941220,2020-05-31 16:07:00+00:00
4831497,wuhu-telecom,suzhou-telecom,5.8069,0.0,icmp,1590941340,2020-05-31 16:09:00+00:00
4831754,wuhu-telecom,suzhou-telecom,6.9241,0.0,icmp,1590941460,2020-05-31 16:11:00+00:00
4831998,wuhu-telecom,suzhou-telecom,5.6792,0.0,icmp,1590941599,2020-05-31 16:13:19+00:00
4832199,wuhu-telecom,suzhou-telecom,7.0245,0.0,icmp,1590941700,2020-05-31 16:15:00+00:00
4832453,wuhu-telecom,suzhou-telecom,5.9464,0.0,icmp,1590941820,2020-05-31 16:17:00+00:00
4832724,wuhu-telecom,suzhou-telecom,5.7665,0.0,icmp,1590941940,2020-05-31 16:19:00+00:00
4832945,wuhu-telecom,suzhou-telecom,5.9255,0.0,icmp,1590942060,2020-05-31 16:21:00+00:00
4833171,wuhu-telecom,suzhou-telecom,5.7403,0.0,icmp,1590942180,2020-05-31 16:23:00+00:00
4833407,wuhu-telecom,suzhou-telecom,5.7684,0.0,icmp,1590942319,2020-05-31 16:25:19+00:00
4833640,wuhu-telecom,suzhou-telecom,6.1338,0.0,icmp,1590942420,2020-05-31 16:27:00+00:00
4833881,wuhu-telecom,suzhou-telecom,6.7719,0.0,icmp,1590942540,2020-05-31 16:29:00+00:00
4834107,wuhu-telecom,suzhou-telecom,5.6922,0.0,icmp,1590942679,2020-05-31 16:31:19+00:00
4834362,wuhu-telecom,suzhou-telecom,5.6925,0.0,icmp,1590942799,2020-05-31 16:33:19+00:00
4834599,wuhu-telecom,suzhou-telecom,5.9105,0.0,icmp,1590942900,2020-05-31 16:35:00+00:00
4834833,wuhu-telecom,suzhou-telecom,5.9856,0.0,icmp,1590943020,2020-05-31 16:37:00+00:00
4835083,wuhu-telecom,suzhou-telecom,6.2491,0.0,icmp,1590943140,2020-05-31 16:39:00+00:00
4835288,wuhu-telecom,suzhou-telecom,6.1698,0.0,icmp,1590943260,2020-05-31 16:41:00+00:00
4835523,wuhu-telecom,suzhou-telecom,5.6323,0.0,icmp,1590943339,2020-05-31 16:42:19+00:00
4835797,wuhu-telecom,suzhou-telecom,5.8935,0.0,icmp,1590943519,2020-05-31 16:45:19+00:00
4836031,wuhu-telecom,suzhou-telecom,6.0215,0.0,icmp,1590943620,2020-05-31 16:47:00+00:00
4836300,wuhu-telecom,suzhou-telecom,9.2403,0.0,icmp,1590943740,2020-05-31 16:49:00+00:00
4836499,wuhu-telecom,suzhou-telecom,5.7631,0.0,icmp,1590943879,2020-05-31 16:51:19+00:00
4836728,wuhu-telecom,suzhou-telecom,6.3799,0.0,icmp,1590943980,2020-05-31 16:53:00+00:00
4836988,wuhu-telecom,suzhou-telecom,6.9789,0.0,icmp,1590944100,2020-05-31 16:55:00+00:00
4837196,wuhu-telecom,suzhou-telecom,6.3179,0.0,icmp,1590944220,2020-05-31 16:57:00+00:00
4837464,wuhu-telecom,suzhou-telecom,5.9076,0.0,icmp,1590944340,2020-05-31 16:59:00+00:00
4837692,wuhu-telecom,suzhou-telecom,13.5324,0.0,icmp,1590944460,2020-05-31 17:01:00+00:00
4837916,wuhu-telecom,suzhou-telecom,5.903,0.0,icmp,1590944580,2020-05-31 17:03:00+00:00
4838174,wuhu-telecom,suzhou-telecom,5.8338,0.0,icmp,1590944700,2020-05-31 17:05:00+00:00
4838384,wuhu-telecom,suzhou-telecom,6.0698,0.0,icmp,1590944820,2020-05-31 17:07:00+00:00
4838633,wuhu-telecom,suzhou-telecom,5.9614,0.0,icmp,1590944940,2020-05-31 17:09:00+00:00
4838904,wuhu-telecom,suzhou-telecom,6.2225,0.0,icmp,1590945060,2020-05-31 17:11:00+00:00
4839120,wuhu-telecom,suzhou-telecom,5.7011,0.0,icmp,1590945199,2020-05-31 17:13:19+00:00
4839376,wuhu-telecom,suzhou-telecom,13.5645,0.0,icmp,1590945300,2020-05-31 17:15:00+00:00
4839603,wuhu-telecom,suzhou-telecom,5.9933,0.0,icmp,1590945439,2020-05-31 17:17:19+00:00
4839814,wuhu-telecom,suzhou-telecom,7.6101,0.0,icmp,1590945540,2020-05-31 17:19:00+00:00
4840087,wuhu-telecom,suzhou-telecom,5.9096,0.0,icmp,1590945679,2020-05-31 17:21:19+00:00
4840304,wuhu-telecom,suzhou-telecom,11.0926,0.0,icmp,1590945780,2020-05-31 17:23:00+00:00
4840541,wuhu-telecom,suzhou-telecom,5.9456,0.0,icmp,1590945900,2020-05-31 17:25:00+00:00
4840804,wuhu-telecom,suzhou-telecom,6.5105,0.0,icmp,1590946020,2020-05-31 17:27:00+00:00
4841043,wuhu-telecom,suzhou-telecom,6.1289,0.0,icmp,1590946140,2020-05-31 17:29:00+00:00
