Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
4830458,xiamen-telecom,wenzhou-telecom,25.3714,0.0,icmp,1590940800,2020-05-31 16:00:00+00:00
4830674,xiamen-telecom,wenzhou-telecom,26.2728,0.0,icmp,1590940920,2020-05-31 16:02:00+00:00
4830919,xiamen-telecom,wenzhou-telecom,20.3213,0.0,icmp,1590940999,2020-05-31 16:03:19+00:00
4831119,xiamen-telecom,wenzhou-telecom,31.7456,0.0,icmp,1590941160,2020-05-31 16:06:00+00:00
4831398,xiamen-telecom,wenzhou-telecom,22.6665,0.0,icmp,1590941280,2020-05-31 16:08:00+00:00
4831644,xiamen-telecom,wenzhou-telecom,28.3952,0.0,icmp,1590941400,2020-05-31 16:10:00+00:00
4831881,xiamen-telecom,wenzhou-telecom,31.2763,0.0,icmp,1590941520,2020-05-31 16:12:00+00:00
4832126,xiamen-telecom,wenzhou-telecom,20.5012,0.0,icmp,1590941599,2020-05-31 16:13:19+00:00
4832319,xiamen-telecom,wenzhou-telecom,26.7789,0.0,icmp,1590941760,2020-05-31 16:16:00+00:00
4832561,xiamen-telecom,wenzhou-telecom,20.1008,0.0,icmp,1590941839,2020-05-31 16:17:19+00:00
4832831,xiamen-telecom,wenzhou-telecom,28.32,0.0,icmp,1590942000,2020-05-31 16:20:00+00:00
4833070,xiamen-telecom,wenzhou-telecom,33.7657,0.0,icmp,1590942120,2020-05-31 16:22:00+00:00
4833284,xiamen-telecom,wenzhou-telecom,29.3908,0.0,icmp,1590942240,2020-05-31 16:24:00+00:00
4833501,xiamen-telecom,wenzhou-telecom,22.6724,0.0,icmp,1590942360,2020-05-31 16:26:00+00:00
4833761,xiamen-telecom,wenzhou-telecom,19.9944,0.0,icmp,1590942439,2020-05-31 16:27:19+00:00
4833984,xiamen-telecom,wenzhou-telecom,27.895,0.0,icmp,1590942600,2020-05-31 16:30:00+00:00
4834218,xiamen-telecom,wenzhou-telecom,19.9071,0.0,icmp,1590942679,2020-05-31 16:31:19+00:00
4834476,xiamen-telecom,wenzhou-telecom,20.2925,0.0,icmp,1590942799,2020-05-31 16:33:19+00:00
4834729,xiamen-telecom,wenzhou-telecom,24.6347,0.0,icmp,1590942960,2020-05-31 16:36:00+00:00
4834933,xiamen-telecom,wenzhou-telecom,24.7022,0.0,icmp,1590943080,2020-05-31 16:38:00+00:00
4835171,xiamen-telecom,wenzhou-telecom,20.1027,0.0,icmp,1590943159,2020-05-31 16:39:19+00:00
4835457,xiamen-telecom,wenzhou-telecom,20.313,0.0,icmp,1590943279,2020-05-31 16:41:19+00:00
4835662,xiamen-telecom,wenzhou-telecom,19.9668,0.0,icmp,1590943399,2020-05-31 16:43:19+00:00
4835897,xiamen-telecom,wenzhou-telecom,24.3593,0.0,icmp,1590943560,2020-05-31 16:46:00+00:00
4836165,xiamen-telecom,wenzhou-telecom,20.0161,0.0,icmp,1590943639,2020-05-31 16:47:19+00:00
4836396,xiamen-telecom,wenzhou-telecom,19.9388,0.0,icmp,1590943759,2020-05-31 16:49:19+00:00
4836647,xiamen-telecom,wenzhou-telecom,29.4389,0.0,icmp,1590943920,2020-05-31 16:52:00+00:00
4836848,xiamen-telecom,wenzhou-telecom,22.2494,0.0,icmp,1590944040,2020-05-31 16:54:00+00:00
4837101,xiamen-telecom,wenzhou-telecom,28.4065,0.0,icmp,1590944160,2020-05-31 16:56:00+00:00
4837346,xiamen-telecom,wenzhou-telecom,26.2715,0.0,icmp,1590944280,2020-05-31 16:58:00+00:00
4837591,xiamen-telecom,wenzhou-telecom,24.6312,0.0,icmp,1590944400,2020-05-31 17:00:00+00:00
