Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
471773,xiamen-telecom,wuhu-telecom,23.5549,0.0,icmp,1590940759,2020-05-31 15:59:19+00:00
471997,xiamen-telecom,wuhu-telecom,32.5493,0.0,icmp,1590940920,2020-05-31 16:02:00+00:00
472226,xiamen-telecom,wuhu-telecom,28.6151,0.0,icmp,1590941040,2020-05-31 16:04:00+00:00
472437,xiamen-telecom,wuhu-telecom,37.138,0.0,icmp,1590941160,2020-05-31 16:06:00+00:00
472699,xiamen-telecom,wuhu-telecom,35.0565,0.0,icmp,1590941280,2020-05-31 16:08:00+00:00
472928,xiamen-telecom,wuhu-telecom,23.9891,0.0,icmp,1590941359,2020-05-31 16:09:19+00:00
473154,xiamen-telecom,wuhu-telecom,36.0928,0.0,icmp,1590941520,2020-05-31 16:12:00+00:00
473387,xiamen-telecom,wuhu-telecom,23.9383,0.0,icmp,1590941599,2020-05-31 16:13:19+00:00
473591,xiamen-telecom,wuhu-telecom,31.0894,0.0,icmp,1590941760,2020-05-31 16:16:00+00:00
473832,xiamen-telecom,wuhu-telecom,31.2283,0.0,icmp,1590941880,2020-05-31 16:18:00+00:00
474076,xiamen-telecom,wuhu-telecom,35.9793,0.0,icmp,1590942000,2020-05-31 16:20:00+00:00
474310,xiamen-telecom,wuhu-telecom,37.1599,0.0,icmp,1590942120,2020-05-31 16:22:00+00:00
474519,xiamen-telecom,wuhu-telecom,35.4374,0.0,icmp,1590942240,2020-05-31 16:24:00+00:00
474736,xiamen-telecom,wuhu-telecom,23.6279,0.0,icmp,1590942319,2020-05-31 16:25:19+00:00
474978,xiamen-telecom,wuhu-telecom,23.4886,0.0,icmp,1590942439,2020-05-31 16:27:19+00:00
475199,xiamen-telecom,wuhu-telecom,23.7344,0.0,icmp,1590942559,2020-05-31 16:29:19+00:00
475412,xiamen-telecom,wuhu-telecom,28.1166,0.0,icmp,1590942720,2020-05-31 16:32:00+00:00
475671,xiamen-telecom,wuhu-telecom,32.9497,0.0,icmp,1590942840,2020-05-31 16:34:00+00:00
475904,xiamen-telecom,wuhu-telecom,39.7396,0.0,icmp,1590942960,2020-05-31 16:36:00+00:00
476109,xiamen-telecom,wuhu-telecom,31.2907,0.0,icmp,1590943080,2020-05-31 16:38:00+00:00
476339,xiamen-telecom,wuhu-telecom,27.8199,0.0,icmp,1590943200,2020-05-31 16:40:00+00:00
476590,xiamen-telecom,wuhu-telecom,28.6131,0.0,icmp,1590943320,2020-05-31 16:42:00+00:00
476809,xiamen-telecom,wuhu-telecom,35.0998,0.0,icmp,1590943440,2020-05-31 16:44:00+00:00
477033,xiamen-telecom,wuhu-telecom,23.5963,0.0,icmp,1590943519,2020-05-31 16:45:19+00:00
