,vm_id,pm_name,site_id,cores,start_time,end_time
2002,b550bfaaedbc375dd9018219e520a1bd,910383c469ac2a9e58ea9a17664ced2d,hangzhou-cmcc,2,1559184243,2974803442
2190,bf61e69f788a7f6a05be84c1b8534a0d,9c1bf39ce38716975a225343d05ccb40,hangzhou-cmcc,4,1565144557,4718744557
2191,76bd6caf5a169451e4580a56e08aa715,430d2f404d4dde237bd5ed9c3fb2dccd,hangzhou-cmcc,4,1565144557,4718744557
2309,eca9690078faf5da83650c0ff385e00a,9c1bf39ce38716975a225343d05ccb40,hangzhou-cmcc,8,1593792000,1596470400
2418,52c6bcd49d2b725dad54e7216318bc88,9c1bf39ce38716975a225343d05ccb40,hangzhou-cmcc,4,1568879283,4722479283
2503,74d3e7f0746c68ed1b2907a57922b6a0,9c1bf39ce38716975a225343d05ccb40,hangzhou-cmcc,4,1568968376,4093545600
2616,21c311264ce484cda4bc44d6b64049b1,910383c469ac2a9e58ea9a17664ced2d,hangzhou-cmcc,2,1568968376,4093545600
2716,4c64655bc2943d1cc0bb9623251c6ce1,430d2f404d4dde237bd5ed9c3fb2dccd,hangzhou-cmcc,16,1593187200,1595779200
2717,e10a892085a8db4f8d4262ad5cbbcf22,910383c469ac2a9e58ea9a17664ced2d,hangzhou-cmcc,16,1593187200,1595779200
2718,0b711fe6bf7210ba1f5fc1cfabffe201,9c1bf39ce38716975a225343d05ccb40,hangzhou-cmcc,16,1593187200,1595779200
2719,e44a214710fbfffe20ba4cb8a58af58b,910383c469ac2a9e58ea9a17664ced2d,hangzhou-cmcc,16,1593187200,1595779200
2720,9f69f1970de6daf7dc90f02a2256ec4d,430d2f404d4dde237bd5ed9c3fb2dccd,hangzhou-cmcc,16,1593187200,1595779200
2726,9c0fb2b16bbc30c2287d6427c7c2a875,910383c469ac2a9e58ea9a17664ced2d,hangzhou-cmcc,16,1593187200,1595779200
2727,21649a57a5ec6990f7e1667b03bc54e1,9c1bf39ce38716975a225343d05ccb40,hangzhou-cmcc,16,1593187200,1595779200
2844,39e5dd1754ec3929f230af0b4106cd11,910383c469ac2a9e58ea9a17664ced2d,hangzhou-cmcc,4,1594483200,1597161600
2845,b8f85b00572c84544323e1d6b263d2eb,9c1bf39ce38716975a225343d05ccb40,hangzhou-cmcc,4,1594483200,1597161600
3052,46c7a90870cc5429a427bc9e340f77ba,910383c469ac2a9e58ea9a17664ced2d,hangzhou-cmcc,4,1574132326,4727732326
3064,5370090a67834a440c57d517b5f6fafa,430d2f404d4dde237bd5ed9c3fb2dccd,hangzhou-cmcc,4,1574401555,1637473679
3297,0b16e45b6effa3a2aef93986ead05dc9,5f5a420dd9530b35875d3ed9df5ef718,hangzhou-cmcc,32,1593360000,1595952000
3492,2ff7973e088564c9484c2b70db01e960,430d2f404d4dde237bd5ed9c3fb2dccd,hangzhou-cmcc,8,1594915200,1597593600
3496,c9f3b49f16350de827d2a92e348c3e22,910383c469ac2a9e58ea9a17664ced2d,hangzhou-cmcc,8,1594915200,1597593600
4283,d1957ac5ff03866d41b601f7891f9c09,9c1bf39ce38716975a225343d05ccb40,hangzhou-cmcc,4,1594483200,1597161600
7296,531a61fdea1e2860e65d0ad92894d014,5f5a420dd9530b35875d3ed9df5ef718,hangzhou-cmcc,32,1594347387,1597025786
3306,1b603773059f3aede99265cbfd33881d,7ef25a38914d73133e9e1c6192dea918,hangzhou-cmcc-2,2,1577769628,4731369628
3363,0e367f6b2731dbcb21d3f9f3773735eb,5d5f02a9e3b2dc94a5e70ef50a10ef83,hangzhou-cmcc-2,32,1593532800,1596211200
3364,6983727dad412da03b6096531d6b9f7b,0438ce351e66eec526d1ec663e9913f5,hangzhou-cmcc-2,32,1593532800,1596211200
3365,6ad902ac001056ae68c573f0304ac3a2,81c5f54b5f743dc7d42859f31963cfa0,hangzhou-cmcc-2,32,1593532800,1596211200
3366,df6a7d7dd2bd67aa20d39668b7ee8c24,adc56e5a2a778a46f3b2436ba3f94d0e,hangzhou-cmcc-2,32,1593532800,1596211200
3367,13c4166dff5cd7ec0a859f890a6522d2,a764d00d213a1c83e969bafa290d1b07,hangzhou-cmcc-2,32,1593532800,1596211200
4763,0b2d11df228eeb691e8001603408fd31,7ef25a38914d73133e9e1c6192dea918,hangzhou-cmcc-2,2,1593619200,1596297600
4764,78aa44160dc30eb4b6b5bb8d5ab4a46d,aeba82a19b011aac6e66cf9393babcf2,hangzhou-cmcc-2,32,1593619200,1596297600
4765,4011e5e1d218b4b32c5e8adc2ec4111d,7ef25a38914d73133e9e1c6192dea918,hangzhou-cmcc-2,2,1593619200,1596297600
4880,b53791b283b7fdcdf35722616c4d27d3,7ef25a38914d73133e9e1c6192dea918,hangzhou-cmcc-2,2,1586930144,4740530144
5035,208af224c5248a5ae1be26f55e428178,5d5f02a9e3b2dc94a5e70ef50a10ef83,hangzhou-cmcc-2,4,1587030404,4740630404
5052,e23cd10dc959c8eb1561b5a32d4ac7a2,7ef25a38914d73133e9e1c6192dea918,hangzhou-cmcc-2,4,1587030404,4740630404
5115,6f98a16611b8768fc5de758bb3c7bba2,7ef25a38914d73133e9e1c6192dea918,hangzhou-cmcc-2,16,1587607656,4741207656
5127,5af976994d9b41e1579cb95864e68ce5,adc56e5a2a778a46f3b2436ba3f94d0e,hangzhou-cmcc-2,2,1593187200,1595779200
5128,31a3750ce9741581615623ae508dbce8,a764d00d213a1c83e969bafa290d1b07,hangzhou-cmcc-2,2,1593187200,1595779200
5129,ab3ab93fbeb40693fdd514e4393a3d2f,a764d00d213a1c83e969bafa290d1b07,hangzhou-cmcc-2,2,1593187200,1595779200
5130,260b7f945845fab0f2d0e08d56e8f94b,da3d6af45f53a5a2040be53002066d8c,hangzhou-cmcc-2,2,1593187200,1595779200
5131,35f138da0dd1ce96675bfb50eb0cd6d8,da3d6af45f53a5a2040be53002066d8c,hangzhou-cmcc-2,2,1593187200,1595779200
5132,dd0ca27e4ef1ebb8a997f20298e2e37d,da3d6af45f53a5a2040be53002066d8c,hangzhou-cmcc-2,2,1593187200,1595779200
5133,7f84058d9dfa436c7f072bd9397a593d,da3d6af45f53a5a2040be53002066d8c,hangzhou-cmcc-2,2,1593187200,1595779200
5134,db27ed4e06521851a4bf84ccf13bc855,da3d6af45f53a5a2040be53002066d8c,hangzhou-cmcc-2,2,1593187200,1595779200
5135,43fb5b9b23f553977f1a7f2221fdad9b,da3d6af45f53a5a2040be53002066d8c,hangzhou-cmcc-2,2,1593187200,1595779200
5136,100517ef3bb7c01690d5ff04446bf2f6,5d5f02a9e3b2dc94a5e70ef50a10ef83,hangzhou-cmcc-2,2,1593187200,1595779200
